pval_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.01,3,0.01,-0.09498155187435375,1.4431199005155497,1.014673,-1.0448,-1.486,69.73,-0.3342,0.7835,358.23421433959555,457.2049913926722,1
0.01,3,0.02,-0.11636738780972213,1.574743132858177,1.173109,-1.1731,-1.5747,76.05,-0.3645,0.7593,382.4472792780826,503.702097375813,2
0.01,3,0.03,-0.11579400766137841,1.729116954041757,1.28577,-1.0631,-1.4296,79.77,-0.3521,0.7746,414.63061224133736,535.2879682244937,3
0.01,3,0.04,-0.07582935155162637,1.7466727959321078,1.284437,-0.6892,-0.9372,70.8,-0.29,0.8402,415.58746447373983,494.60164879053445,4
0.01,3,0.05,-0.07149092967065464,1.6031036825250893,1.261234,-0.7079,-0.8998,66.39,-0.2896,0.837,382.6460324208082,457.1395811376303,5
0.01,3,0.06,-0.08933294225431253,1.7879307646299185,1.445093,-0.7932,-0.9813,71.23,-0.3292,0.8021,377.2583226732954,470.34324850228904,6
0.01,3,0.07,-0.06548339543826455,1.8768150126462908,1.511921,-0.5539,-0.6875,62.44,-0.3056,0.8476,379.42514541367245,447.65884346034426,7
0.01,3,0.08,-0.04110705181551092,1.7543968136721717,1.358399,-0.372,-0.4804,60.55,-0.2204,0.8922,354.59580023270803,397.42934822447035,8
0.01,3,0.09,-0.02543684696774609,1.7204271422492874,1.335611,-0.2347,-0.3023,48.16,-0.2022,0.9246,324.8011729262276,351.306367466619,9
0.01,3,0.1,0.0067839034998864595,1.5966226232205858,1.156455,0.0674,0.0931,47.87,-0.0317,1.023,314.8590814412081,307.7902539943264,10
0.01,3,0.11,0.006558105625695254,1.5808534354463024,1.146255,0.0659,0.0908,34.54,-0.0437,1.024,291.86967054435917,285.0361244823847,11
0.01,3,0.12,0.0035720092453558777,1.5628056719194447,1.169086,0.0363,0.0485,30.33,-0.0727,1.0141,266.90358019754143,263.1815465638806,12
0.01,3,0.13,0.024741367509951543,1.576663859863444,1.162483,0.2491,0.3379,30.33,0.1021,1.1096,260.9094069136605,235.12890196829105,13
0.01,3,0.14,0.02416466128688913,1.4841742830410334,1.074678,0.2585,0.3569,30.33,0.1098,1.1222,231.18602091981484,206.00644385887637,14
0.01,3,0.15,0.01796274267238511,1.5007411516613522,1.116416,0.19,0.2554,30.33,0.0541,1.0947,216.42061948333233,197.70344161870705,15
0.01,4,0.01,-0.1737120031319965,1.3771992242575601,1.134847,-2.0023,-2.4299,85.18,-0.4348,0.6317,310.44814890683017,491.4560561703706,16
0.01,4,0.02,-0.16906640942276815,1.595292186571515,1.340556,-1.6824,-2.002,85.02,-0.4336,0.667,352.8787258685383,529.0459244870627,17
0.01,4,0.03,-0.1741459805915934,1.6835024829937248,1.416465,-1.6421,-1.9517,86.01,-0.4407,0.6679,364.96244081712376,546.4225525935641,18
0.01,4,0.04,-0.1613131499454967,1.7255550445093712,1.454359,-1.484,-1.7608,84.14,-0.4278,0.685,365.4666255203215,533.5549277635291,19
0.01,4,0.05,-0.19547207087304055,2.2206565204969766,2.011179,-1.3973,-1.5429,90.45,-0.478,0.6424,365.8239233776133,569.5058212273216,20
0.01,4,0.06,-0.14046194430136652,1.8041646207220627,1.455473,-1.2359,-1.532,80.73,-0.4055,0.7164,369.6522316477546,516.0135776097785,21
0.01,4,0.07,-0.10275012631408287,1.7056210577847262,1.329579,-0.9563,-1.2268,71.87,-0.3567,0.7724,363.4440772537475,470.5097088730218,22
0.01,4,0.08,-0.08983140586480562,1.8008803437642436,1.399993,-0.7919,-1.0186,69.27,-0.3394,0.8012,377.3174017798069,470.92172669093435,23
0.01,4,0.09,-0.06463741589175877,1.6724446467888763,1.291197,-0.6135,-0.7947,59.11,-0.3052,0.8273,322.5973403023489,389.94952766156155,24
0.01,4,0.1,-0.07488044611444929,1.880009677252847,1.517837,-0.6323,-0.7831,64.99,-0.3241,0.8011,314.3053391904428,392.33076404169907,25
0.01,4,0.11,-0.05273686011860654,1.799027645080722,1.454025,-0.4653,-0.5758,55.2,-0.2937,0.8435,296.2494262486168,351.2012344922049,26
0.01,4,0.12,-0.0005883985348407048,1.4848922173156056,1.053531,-0.0063,-0.0089,45.04,-0.0641,0.9978,273.3485985772036,273.96170985050753,27
0.01,4,0.13,0.02474518643056634,1.3488707560902597,0.91153,0.2912,0.4309,29.85,0.135,1.1171,245.9923426395769,220.20785837892674,28
0.01,4,0.14,0.016203023838496755,1.3042965968332927,0.893061,0.1972,0.288,27.61,0.0711,1.0832,219.852907651646,202.96935681193236,29
0.01,4,0.15,0.0042936028972670745,1.3109019375529705,0.928017,0.052,0.0734,29.84,-0.0362,1.0233,196.19447784387734,191.72054362492503,30
0.01,5,0.01,-0.03744517412183605,1.3058325554026464,0.8546,-0.4552,-0.6956,56.11,-0.1946,0.9068,379.7437488071377,418.7616202420909,31
0.01,5,0.02,-0.03942386010431201,1.2770439833870975,0.877615,-0.4901,-0.7131,49.75,-0.227,0.9033,383.8594755043383,424.93913773303154,32
0.01,5,0.03,-0.05847191540879114,1.3803148866253152,0.990129,-0.6725,-0.9375,61.47,-0.2562,0.8633,384.6957138675228,445.62344972348313,33
0.01,5,0.04,-0.05012155172624736,1.4615673148233983,1.049546,-0.5444,-0.7581,60.74,-0.2339,0.8871,410.2118532234769,462.4385101222266,34
0.01,5,0.05,-0.07811740165315285,1.4629901522874256,1.08829,-0.8476,-1.1395,66.74,-0.3007,0.8284,392.92760194639834,474.3259344689836,35
0.01,5,0.06,-0.06993382121072413,1.5526727441714425,1.152256,-0.715,-0.9635,64.14,-0.2912,0.8484,407.71048807116915,480.58152977274375,36
0.01,5,0.07,-0.07091368664268584,1.6363938506004854,1.222534,-0.6879,-0.9208,73.82,-0.2595,0.8482,412.93411570957375,486.8261771912524,37
0.01,5,0.08,-0.0633865691661033,1.6163244644863621,1.215991,-0.6225,-0.8275,69.83,-0.2513,0.8595,404.005726933829,470.05453200490865,38
0.01,5,0.09,-0.06206855138463461,1.5864060728910507,1.196536,-0.6211,-0.8235,63.07,-0.2722,0.8523,373.2485399490726,437.9239704918619,39
0.01,5,0.1,-0.06281693187873204,1.570954324340389,1.186334,-0.6348,-0.8406,62.12,-0.2781,0.8423,349.71172714167113,415.16697015931004,40
