Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2021-01-04,2021-01-08,2020-01-20,2021-01-01,2021-01-01,2,2,-0.33781930527200243
2,2021-01-11,2021-01-15,2020-01-27,2021-01-08,2021-01-08,3,2,6.47365954265442
3,2021-01-18,2021-01-22,2020-02-03,2021-01-15,2021-01-15,5,4,2.698332731424413
4,2021-01-25,2021-01-29,2020-02-10,2021-01-22,2021-01-22,35,14,0.942783198154995
5,2021-02-01,2021-02-05,2020-02-17,2021-01-29,2021-01-29,32,7,-7.566583711740971
6,2021-02-08,2021-02-12,2020-02-24,2021-02-05,2021-02-05,43,11,0.7355058025480643
7,2021-02-15,2021-02-19,2020-03-02,2021-02-12,2021-02-12,27,16,-5.868406564290507
8,2021-02-22,2021-02-26,2020-03-09,2021-02-19,2021-02-19,10,9,6.281998523792964
9,2021-03-01,2021-03-05,2020-03-16,2021-02-26,2021-02-26,9,3,3.8137548084111295
10,2021-03-08,2021-03-12,2020-03-23,2021-03-05,2021-03-05,5,0,0.0
11,2021-03-15,2021-03-19,2020-03-30,2021-03-12,2021-03-12,7,1,6.831574698793186
12,2021-03-22,2021-03-26,2020-04-06,2021-03-19,2021-03-19,9,2,-4.730881638898532
13,2021-03-29,2021-04-02,2020-04-13,2021-03-26,2021-03-26,8,1,-19.02180417309739
14,2021-04-05,2021-04-09,2020-04-20,2021-04-02,2021-04-02,6,4,0.928108187456389
15,2021-04-12,2021-04-16,2020-04-27,2021-04-09,2021-04-09,3,1,121.44200646577734
16,2021-04-19,2021-04-23,2020-05-04,2021-04-16,2021-04-16,2,2,7.769878261898078
17,2021-04-26,2021-04-30,2020-05-11,2021-04-23,2021-04-23,2,2,-1.8777992183903969
18,2021-05-03,2021-05-07,2020-05-18,2021-04-30,2021-04-30,5,0,0.0
19,2021-05-10,2021-05-14,2020-05-25,2021-05-07,2021-05-07,4,3,-13.273618952252441
20,2021-05-17,2021-05-21,2020-06-01,2021-05-14,2021-05-14,5,1,6.318803112372184
21,2021-05-24,2021-05-28,2020-06-08,2021-05-21,2021-05-21,5,2,8.32235124995433
22,2021-05-31,2021-06-04,2020-06-15,2021-05-28,2021-05-28,4,0,0.0
23,2021-06-07,2021-06-11,2020-06-22,2021-06-04,2021-06-04,1,0,0.0
24,2021-06-14,2021-06-18,2020-06-29,2021-06-11,2021-06-11,2,0,0.0
25,2021-06-21,2021-06-25,2020-07-06,2021-06-18,2021-06-18,3,0,0.0
26,2021-06-28,2021-07-02,2020-07-13,2021-06-25,2021-06-25,3,1,2.234231536449305
27,2021-07-05,2021-07-09,2020-07-20,2021-07-02,2021-07-02,3,0,0.0
