pair_hxy_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.35,3,0.01,-0.10382203535650941,1.3870218115772146,1.126719,-1.1882,-1.4628,70.73,-0.3528,0.7278,289.2417597997324,397.4243206412153,1
0.35,3,0.02,-0.12506516469136708,1.4268745049140754,1.187307,-1.3914,-1.6721,77.39,-0.3745,0.68,276.94193505482286,407.2598366632274,2
0.35,3,0.03,-0.10024403119708718,1.1860019341465673,0.898224,-1.3418,-1.7716,70.2,-0.3376,0.7171,264.7748042687124,369.2290847760772,3
0.35,3,0.04,-0.13951073875300393,1.2579790214377002,1.016701,-1.7605,-2.1783,80.92,-0.3839,0.6389,257.2440175371252,402.6142073177553,4
0.35,3,0.05,-0.14486756914798693,1.24584456268885,1.014348,-1.8459,-2.2672,82.76,-0.3862,0.607,233.18691799392556,384.13892504612795,5
0.35,3,0.06,-0.12293021653413837,1.2985194250946497,1.062035,-1.5028,-1.8375,80.39,-0.351,0.6442,231.9294055776159,360.0226912061881,6
0.35,3,0.07,-0.10564909463721371,1.3352166954555014,1.100653,-1.2561,-1.5238,77.32,-0.3252,0.6434,198.63652227334944,308.7228788853261,7
0.35,3,0.08,-0.0771275335536303,1.337556647756742,1.055476,-0.9154,-1.16,69.5,-0.2813,0.6969,184.78293323611473,265.1498231989975,8
0.35,3,0.09,-0.07472447829075139,1.3976712358617713,1.127301,-0.8487,-1.0523,66.63,-0.289,0.6941,176.65596609516595,254.51887247412887,9
0.35,3,0.1,-0.048868136827190566,1.3265106920648322,1.055194,-0.5848,-0.7352,55.62,-0.2444,0.7541,156.1702408896076,207.09083946354022,10
0.35,3,0.11,-0.04726861007807603,1.2455552924189162,0.988467,-0.6024,-0.7591,53.92,-0.2413,0.7247,129.6760566206617,178.92994832201688,11
0.35,3,0.12,-0.04684943970749096,1.1978408075649003,0.969183,-0.6209,-0.7674,51.08,-0.2505,0.6952,111.36188178252277,160.17899795772837,12
0.35,3,0.13,-0.05049169082828328,1.1561920453743544,0.939483,-0.6933,-0.8532,52.48,-0.257,0.6354,91.69199230087781,144.30433414394898,13
0.35,3,0.14,-0.0478091712984289,1.1232670260462474,0.908222,-0.6757,-0.8356,51.48,-0.2489,0.6214,81.77564333987483,131.59279983283773,14
0.35,3,0.15,-0.042380021004309786,1.1035352876262383,0.892886,-0.6096,-0.7535,48.53,-0.2382,0.6251,73.61620285543715,117.77618474192795,15
0.35,4,0.01,-0.1253879013652476,1.391998774267104,1.184047,-1.4299,-1.6811,75.81,-0.382,0.6684,263.3972569770626,394.0514501996506,16
0.35,4,0.02,-0.11962565254067964,1.4095267486397831,1.188792,-1.3473,-1.5974,74.27,-0.3765,0.6835,269.1323282162329,393.78225816362107,17
0.35,4,0.03,-0.13236147197646903,1.2681094932238344,1.056514,-1.6569,-1.9888,77.02,-0.3875,0.6494,255.44945131964604,393.3701051191268,18
0.35,4,0.04,-0.1462247007294501,1.2958169233760048,1.095671,-1.7913,-2.1186,80.98,-0.3991,0.6201,248.746490563807,401.11262872389403,19
0.35,4,0.05,-0.10943933891492384,1.224422683274393,0.979666,-1.4189,-1.7734,73.78,-0.3463,0.6861,249.30233062966022,363.33812177901086,20
0.35,4,0.06,-0.10533352613564459,1.3144439377830446,1.035134,-1.2721,-1.6154,75.24,-0.3322,0.7031,259.94578590904416,369.70332014238585,21
