Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2021-01-04,2021-01-08,2020-01-20,2021-01-01,2021-01-01,23,0,0.0
2,2021-01-11,2021-01-15,2020-01-27,2021-01-08,2021-01-08,23,6,-1.5277095735853896
3,2021-01-18,2021-01-22,2020-02-03,2021-01-15,2021-01-15,19,2,2.3123194906034428
4,2021-01-25,2021-01-29,2020-02-10,2021-01-22,2021-01-22,18,1,230.10661950044698
5,2021-02-01,2021-02-05,2020-02-17,2021-01-29,2021-01-29,17,0,0.0
6,2021-02-08,2021-02-12,2020-02-24,2021-02-05,2021-02-05,15,5,-4.554221955430426
7,2021-02-15,2021-02-19,2020-03-02,2021-02-12,2021-02-12,12,5,-1.5501688167498195
8,2021-02-22,2021-02-26,2020-03-09,2021-02-19,2021-02-19,8,3,1.1242193546817658
9,2021-03-01,2021-03-05,2020-03-16,2021-02-26,2021-02-26,7,0,0.0
10,2021-03-08,2021-03-12,2020-03-23,2021-03-05,2021-03-05,8,0,0.0
11,2021-03-15,2021-03-19,2020-03-30,2021-03-12,2021-03-12,7,1,-4.801838177379302
12,2021-03-22,2021-03-26,2020-04-06,2021-03-19,2021-03-19,8,0,0.0
13,2021-03-29,2021-04-02,2020-04-13,2021-03-26,2021-03-26,7,0,0.0
14,2021-04-05,2021-04-09,2020-04-20,2021-04-02,2021-04-02,6,0,0.0
15,2021-04-12,2021-04-16,2020-04-27,2021-04-09,2021-04-09,6,0,0.0
16,2021-04-19,2021-04-23,2020-05-04,2021-04-16,2021-04-16,7,5,-0.015026758205527457
17,2021-04-26,2021-04-30,2020-05-11,2021-04-23,2021-04-23,7,0,0.0
18,2021-05-03,2021-05-07,2020-05-18,2021-04-30,2021-04-30,7,0,0.0
19,2021-05-10,2021-05-14,2020-05-25,2021-05-07,2021-05-07,8,5,-1.8873371457634125
20,2021-05-17,2021-05-21,2020-06-01,2021-05-14,2021-05-14,11,3,-5.162619638715638
21,2021-05-24,2021-05-28,2020-06-08,2021-05-21,2021-05-21,10,1,3.607600572874925
22,2021-05-31,2021-06-04,2020-06-15,2021-05-28,2021-05-28,12,4,0.7688562065040871
23,2021-06-07,2021-06-11,2020-06-22,2021-06-04,2021-06-04,13,1,-1.0110420963619804
24,2021-06-14,2021-06-18,2020-06-29,2021-06-11,2021-06-11,12,0,0.0
25,2021-06-21,2021-06-25,2020-07-06,2021-06-18,2021-06-18,12,0,0.0
26,2021-06-28,2021-07-02,2020-07-13,2021-06-25,2021-06-25,11,0,0.0
27,2021-07-05,2021-07-09,2020-07-20,2021-07-02,2021-07-02,10,0,0.0
28,2021-07-12,2021-07-16,2020-07-27,2021-07-09,2021-07-09,10,0,0.0
29,2021-07-19,2021-07-23,2020-08-03,2021-07-16,2021-07-16,8,0,0.0
30,2021-07-26,2021-07-30,2020-08-10,2021-07-23,2021-07-23,8,0,0.0
31,2021-08-02,2021-08-06,2020-08-17,2021-07-30,2021-07-30,8,0,0.0
32,2021-08-09,2021-08-13,2020-08-24,2021-08-06,2021-08-06,9,0,0.0
33,2021-08-16,2021-08-20,2020-08-31,2021-08-13,2021-08-13,9,0,0.0
34,2021-08-23,2021-08-27,2020-09-07,2021-08-20,2021-08-20,9,1,-4.382378578337221
35,2021-08-30,2021-09-03,2020-09-14,2021-08-27,2021-08-27,9,2,7.88849639556608
36,2021-09-06,2021-09-10,2020-09-21,2021-09-03,2021-09-03,9,0,0.0
37,2021-09-13,2021-09-17,2020-09-28,2021-09-10,2021-09-10,11,1,9.246738120866604
38,2021-09-20,2021-09-24,2020-10-05,2021-09-17,2021-09-17,11,0,0.0
39,2021-09-27,2021-10-01,2020-10-12,2021-09-24,2021-09-24,11,1,0.8379664198619796
40,2021-10-04,2021-10-08,2020-10-19,2021-10-01,2021-10-01,12,1,2.8884063748167987
41,2021-10-11,2021-10-15,2020-10-26,2021-10-08,2021-10-08,13,0,0.0
42,2021-10-18,2021-10-22,2020-11-02,2021-10-15,2021-10-15,12,0,0.0
43,2021-10-25,2021-10-29,2020-11-09,2021-10-22,2021-10-22,11,1,-3.0591942549699325
44,2021-11-01,2021-11-05,2020-11-16,2021-10-29,2021-10-29,13,0,0.0
45,2021-11-08,2021-11-12,2020-11-23,2021-11-05,2021-11-05,13,1,1.389107425676972
46,2021-11-15,2021-11-19,2020-11-30,2021-11-12,2021-11-12,13,0,0.0
47,2021-11-22,2021-11-26,2020-12-07,2021-11-19,2021-11-19,15,0,0.0
48,2021-11-29,2021-12-03,2020-12-14,2021-11-26,2021-11-26,18,4,4.255603361942173
49,2021-12-06,2021-12-10,2020-12-21,2021-12-03,2021-12-03,17,1,7.434181498382397
50,2021-12-13,2021-12-17,2020-12-28,2021-12-10,2021-12-10,17,1,2.218068563646791
51,2021-12-20,2021-12-24,2021-01-04,2021-12-17,2021-12-17,17,0,0.0
52,2021-12-27,2021-12-31,2021-01-11,2021-12-24,2021-12-24,20,0,0.0
53,2022-01-03,2022-01-07,2021-01-18,2021-12-31,2021-12-31,17,2,-1.627965451070812
54,2022-01-10,2022-01-14,2021-01-25,2022-01-07,2022-01-07,17,0,0.0
55,2022-01-17,2022-01-21,2021-02-01,2022-01-14,2022-01-14,15,1,0.5591233949354901
56,2022-01-24,2022-01-28,2021-02-08,2022-01-21,2022-01-21,13,0,0.0
57,2022-01-31,2022-02-04,2021-02-15,2022-01-28,2022-01-28,11,0,0.0
58,2022-02-07,2022-02-11,2021-02-22,2022-02-04,2022-02-04,12,0,0.0
59,2022-02-14,2022-02-18,2021-03-01,2022-02-11,2022-02-11,15,0,0.0
60,2022-02-21,2022-02-25,2021-03-08,2022-02-18,2022-02-18,19,3,-1.8531966415166523
61,2022-02-28,2022-03-04,2021-03-15,2022-02-25,2022-02-25,18,0,0.0
62,2022-03-07,2022-03-11,2021-03-22,2022-03-04,2022-03-04,19,0,0.0
63,2022-03-14,2022-03-18,2021-03-29,2022-03-11,2022-03-11,19,0,0.0
64,2022-03-21,2022-03-25,2021-04-05,2022-03-18,2022-03-18,20,1,-3.2598191851223923
65,2022-03-28,2022-04-01,2021-04-12,2022-03-25,2022-03-25,17,1,1.052897850066592
66,2022-04-04,2022-04-08,2021-04-19,2022-04-01,2022-04-01,18,0,0.0
67,2022-04-11,2022-04-15,2021-04-26,2022-04-08,2022-04-08,15,0,0.0
68,2022-04-18,2022-04-22,2021-05-03,2022-04-15,2022-04-15,14,1,0.6677175103114497
69,2022-04-25,2022-04-29,2021-05-10,2022-04-22,2022-04-22,16,0,0.0
70,2022-05-02,2022-05-06,2021-05-17,2022-04-29,2022-04-29,15,0,0.0
71,2022-05-09,2022-05-13,2021-05-24,2022-05-06,2022-05-06,16,0,0.0
72,2022-05-16,2022-05-20,2021-05-31,2022-05-13,2022-05-13,15,2,-1.2104608775165393
73,2022-05-23,2022-05-27,2021-06-07,2022-05-20,2022-05-20,15,0,0.0
74,2022-05-30,2022-06-03,2021-06-14,2022-05-27,2022-05-27,14,0,0.0
75,2022-06-06,2022-06-10,2021-06-21,2022-06-03,2022-06-03,14,0,0.0
76,2022-06-13,2022-06-17,2021-06-28,2022-06-10,2022-06-10,12,0,0.0
77,2022-06-20,2022-06-24,2021-07-05,2022-06-17,2022-06-17,15,0,0.0
78,2022-06-27,2022-07-01,2021-07-12,2022-06-24,2022-06-24,16,2,1.019614051402562
79,2022-07-04,2022-07-08,2021-07-19,2022-07-01,2022-07-01,18,0,0.0
80,2022-07-11,2022-07-15,2021-07-26,2022-07-08,2022-07-08,15,0,0.0
81,2022-07-18,2022-07-22,2021-08-02,2022-07-15,2022-07-15,14,0,0.0
82,2022-07-25,2022-07-29,2021-08-09,2022-07-22,2022-07-22,13,1,-3.463449518784545
83,2022-08-01,2022-08-05,2021-08-16,2022-07-29,2022-07-29,12,2,-1.60803441348768
84,2022-08-08,2022-08-12,2021-08-23,2022-08-05,2022-08-05,11,0,0.0
85,2022-08-15,2022-08-19,2021-08-30,2022-08-12,2022-08-12,12,0,0.0
86,2022-08-22,2022-08-26,2021-09-06,2022-08-19,2022-08-19,12,0,0.0
87,2022-08-29,2022-09-02,2021-09-13,2022-08-26,2022-08-26,9,0,0.0
88,2022-09-05,2022-09-09,2021-09-20,2022-09-02,2022-09-02,8,3,1.8663758049063395
89,2022-09-12,2022-09-16,2021-09-27,2022-09-09,2022-09-09,8,0,0.0
90,2022-09-19,2022-09-23,2021-10-04,2022-09-16,2022-09-16,9,0,0.0
91,2022-09-26,2022-09-30,2021-10-11,2022-09-23,2022-09-23,9,1,-1.3579064759820403
92,2022-10-03,2022-10-07,2021-10-18,2022-09-30,2022-09-30,8,0,0.0
93,2022-10-10,2022-10-14,2021-10-25,2022-10-07,2022-10-07,8,0,0.0
94,2022-10-17,2022-10-21,2021-11-01,2022-10-14,2022-10-14,8,0,0.0
95,2022-10-24,2022-10-28,2021-11-08,2022-10-21,2022-10-21,7,0,0.0
96,2022-10-31,2022-11-04,2021-11-15,2022-10-28,2022-10-28,7,0,0.0
97,2022-11-07,2022-11-11,2021-11-22,2022-11-04,2022-11-04,8,1,-7.575393261023944
98,2022-11-14,2022-11-18,2021-11-29,2022-11-11,2022-11-11,8,0,0.0
99,2022-11-21,2022-11-25,2021-12-06,2022-11-18,2022-11-18,8,0,0.0
100,2022-11-28,2022-12-02,2021-12-13,2022-11-25,2022-11-25,10,0,0.0
101,2022-12-05,2022-12-09,2021-12-20,2022-12-02,2022-12-02,11,0,0.0
102,2022-12-12,2022-12-16,2021-12-27,2022-12-09,2022-12-09,10,0,0.0
103,2022-12-19,2022-12-23,2022-01-03,2022-12-16,2022-12-16,9,0,0.0
104,2022-12-26,2022-12-30,2022-01-10,2022-12-23,2022-12-23,8,0,0.0
105,2023-01-02,2023-01-06,2022-01-17,2022-12-30,2022-12-30,9,0,0.0
106,2023-01-09,2023-01-13,2022-01-24,2023-01-06,2023-01-06,8,1,3.87467474611658
107,2023-01-16,2023-01-20,2022-01-31,2023-01-13,2023-01-13,8,0,0.0
108,2023-01-23,2023-01-27,2022-02-07,2023-01-20,2023-01-20,9,0,0.0
109,2023-01-30,2023-02-03,2022-02-14,2023-01-27,2023-01-27,11,0,0.0
110,2023-02-06,2023-02-10,2022-02-21,2023-02-03,2023-02-03,9,0,0.0
111,2023-02-13,2023-02-17,2022-02-28,2023-02-10,2023-02-10,9,0,0.0
112,2023-02-20,2023-02-24,2022-03-07,2023-02-17,2023-02-17,9,0,0.0
113,2023-02-27,2023-03-03,2022-03-14,2023-02-24,2023-02-24,9,1,-4.484917886589878
114,2023-03-06,2023-03-10,2022-03-21,2023-03-03,2023-03-03,9,0,0.0
115,2023-03-13,2023-03-17,2022-03-28,2023-03-10,2023-03-10,9,0,0.0
116,2023-03-20,2023-03-24,2022-04-04,2023-03-17,2023-03-17,7,0,0.0
117,2023-03-27,2023-03-31,2022-04-11,2023-03-24,2023-03-24,8,0,0.0
118,2023-04-03,2023-04-07,2022-04-18,2023-03-31,2023-03-31,10,0,0.0
119,2023-04-10,2023-04-14,2022-04-25,2023-04-07,2023-04-07,9,0,0.0
120,2023-04-17,2023-04-21,2022-05-02,2023-04-14,2023-04-14,10,0,0.0
121,2023-04-24,2023-04-28,2022-05-09,2023-04-21,2023-04-21,9,0,0.0
122,2023-05-01,2023-05-05,2022-05-16,2023-04-28,2023-04-28,10,0,0.0
123,2023-05-08,2023-05-12,2022-05-23,2023-05-05,2023-05-05,10,0,0.0
124,2023-05-15,2023-05-19,2022-05-30,2023-05-12,2023-05-12,7,0,0.0
125,2023-05-22,2023-05-26,2022-06-06,2023-05-19,2023-05-19,8,0,0.0
