pair_hxy_threshold,threshold_h,threshold_alpha,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.35,0.05,0.1,3,0.01,0.0007422520236606621,0.11661210245840177,0.086218,0.101,0.1367,2.72,0.0624,1.218,4.321650912801611,3.548224304147202,1
0.35,0.05,0.1,3,0.02,0.0007422520236606621,0.11661210245840177,0.086218,0.101,0.1367,2.72,0.0624,1.218,4.321650912801611,3.548224304147202,2
0.35,0.05,0.1,3,0.03,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,3
0.35,0.05,0.1,3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.35,0.05,0.1,3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.35,0.05,0.1,3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0.35,0.05,0.1,3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.35,0.05,0.1,3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.35,0.05,0.1,3,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0.35,0.05,0.1,3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
0.35,0.05,0.1,3,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
0.35,0.05,0.1,3,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
0.35,0.05,0.1,3,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
0.35,0.05,0.1,3,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
0.35,0.05,0.1,3,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
0.35,0.05,0.1,4,0.01,0.0014781864157086921,0.057125784640020764,0.015227,0.4108,1.541,0.49,0.7522,3.9649,2.0597720455837742,0.5195018004153171,16
0.35,0.05,0.1,4,0.02,0.0014781864157086921,0.057125784640020764,0.015227,0.4108,1.541,0.49,0.7522,3.9649,2.0597720455837742,0.5195018004153171,17
0.35,0.05,0.1,4,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
0.35,0.05,0.1,4,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
0.35,0.05,0.1,4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
0.35,0.05,0.1,4,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
0.35,0.05,0.1,4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
0.35,0.05,0.1,4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
0.35,0.05,0.1,4,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
0.35,0.05,0.1,4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
0.35,0.05,0.1,4,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
0.35,0.05,0.1,4,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
0.35,0.05,0.1,4,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
0.35,0.05,0.1,4,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
0.35,0.05,0.1,4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
0.35,0.05,0.1,5,0.01,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,31
0.35,0.05,0.1,5,0.02,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,32
0.35,0.05,0.1,5,0.03,-0.00073593439204803,0.10165062411309735,0.084863,-0.1149,-0.1377,2.72,-0.0729,0.7468,2.261878867217837,3.0287225037318843,33
0.35,0.05,0.1,5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
0.35,0.05,0.1,5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
0.35,0.05,0.1,5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
0.35,0.05,0.1,5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
0.35,0.05,0.1,5,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
0.35,0.05,0.1,5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
0.35,0.05,0.1,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
0.35,0.05,0.1,5,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
0.35,0.05,0.1,5,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
0.35,0.05,0.1,5,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
0.35,0.05,0.1,5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
0.35,0.05,0.1,5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
0.35,0.05,0.1,6,0.01,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,46
0.35,0.05,0.1,6,0.02,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,47
0.35,0.05,0.1,6,0.03,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,48
0.35,0.05,0.1,6,0.04,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,49
0.35,0.05,0.1,6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
0.35,0.05,0.1,6,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
0.35,0.05,0.1,6,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
0.35,0.05,0.1,6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
0.35,0.05,0.1,6,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
0.35,0.05,0.1,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
0.35,0.05,0.1,6,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
0.35,0.05,0.1,6,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
0.35,0.05,0.1,6,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
0.35,0.05,0.1,6,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
0.35,0.05,0.1,6,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
0.35,0.05,0.1,7,0.01,-0.002981875126374765,0.12192219461973854,0.108301,-0.3882,-0.4371,3.14,-0.2448,0.4339,2.381380667633154,5.488494549315659,61
