divergence_threshold,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Profit_Factor,Calmar_Ratio
0.01,-0.4735,-0.6744,48.27,0.8917,-0.2018
0.02,-0.1809,-0.2666,40.68,0.956,-0.1185
0.03,0.1263,0.1946,35.11,1.0324,0.0161
0.04,0.3031,0.5115,34.02,1.0849,0.1223
0.05,0.3847,0.6435,32.4,1.1107,0.1833
0.06,0.6685,1.1111,26.53,1.2199,0.4518
0.07,0.5652,0.9372,28.44,1.2025,0.3329
0.08,0.8001,1.4222,25.23,1.3318,0.6026
0.09,0.9138,1.6664,23.33,1.4147,0.7635
0.1,0.6277,1.0676,28.58,1.29,0.3703
0.11,0.3763,0.61,34.02,1.1829,0.1591
0.12,0.3756,0.6032,29.71,1.1896,0.1829
0.13,0.0857,0.1252,30.64,1.0395,-0.0002
0.14,0.3124,0.4697,24.17,1.1647,0.1619
0.15,0.179,0.2659,25.69,1.0935,0.0628
