Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2021-01-04,2021-01-08,2020-01-20,2021-01-01,2021-01-01,0,0,0.0
2,2021-01-11,2021-01-15,2020-01-27,2021-01-08,2021-01-08,0,0,0.0
3,2021-01-18,2021-01-22,2020-02-03,2021-01-15,2021-01-15,0,0,0.0
4,2021-01-25,2021-01-29,2020-02-10,2021-01-22,2021-01-22,0,0,0.0
5,2021-02-01,2021-02-05,2020-02-17,2021-01-29,2021-01-29,0,0,0.0
6,2021-02-08,2021-02-12,2020-02-24,2021-02-05,2021-02-05,0,0,0.0
7,2021-02-15,2021-02-19,2020-03-02,2021-02-12,2021-02-12,0,0,0.0
8,2021-02-22,2021-02-26,2020-03-09,2021-02-19,2021-02-19,0,0,0.0
9,2021-03-01,2021-03-05,2020-03-16,2021-02-26,2021-02-26,1,0,0.0
10,2021-03-08,2021-03-12,2020-03-23,2021-03-05,2021-03-05,0,0,0.0
11,2021-03-15,2021-03-19,2020-03-30,2021-03-12,2021-03-12,0,0,0.0
12,2021-03-22,2021-03-26,2020-04-06,2021-03-19,2021-03-19,0,0,0.0
13,2021-03-29,2021-04-02,2020-04-13,2021-03-26,2021-03-26,1,0,0.0
14,2021-04-05,2021-04-09,2020-04-20,2021-04-02,2021-04-02,0,0,0.0
15,2021-04-12,2021-04-16,2020-04-27,2021-04-09,2021-04-09,0,0,0.0
16,2021-04-19,2021-04-23,2020-05-04,2021-04-16,2021-04-16,1,1,3.702304639329279
17,2021-04-26,2021-04-30,2020-05-11,2021-04-23,2021-04-23,2,0,0.0
18,2021-05-03,2021-05-07,2020-05-18,2021-04-30,2021-04-30,0,0,0.0
19,2021-05-10,2021-05-14,2020-05-25,2021-05-07,2021-05-07,1,1,-6.946364501695124
20,2021-05-17,2021-05-21,2020-06-01,2021-05-14,2021-05-14,0,0,0.0
21,2021-05-24,2021-05-28,2020-06-08,2021-05-21,2021-05-21,0,0,0.0
22,2021-05-31,2021-06-04,2020-06-15,2021-05-28,2021-05-28,0,0,0.0
23,2021-06-07,2021-06-11,2020-06-22,2021-06-04,2021-06-04,0,0,0.0
24,2021-06-14,2021-06-18,2020-06-29,2021-06-11,2021-06-11,1,0,0.0
25,2021-06-21,2021-06-25,2020-07-06,2021-06-18,2021-06-18,0,0,0.0
26,2021-06-28,2021-07-02,2020-07-13,2021-06-25,2021-06-25,1,0,0.0
27,2021-07-05,2021-07-09,2020-07-20,2021-07-02,2021-07-02,1,0,0.0
28,2021-07-12,2021-07-16,2020-07-27,2021-07-09,2021-07-09,1,0,0.0
29,2021-07-19,2021-07-23,2020-08-03,2021-07-16,2021-07-16,1,0,0.0
30,2021-07-26,2021-07-30,2020-08-10,2021-07-23,2021-07-23,3,0,0.0
31,2021-08-02,2021-08-06,2020-08-17,2021-07-30,2021-07-30,2,0,0.0
32,2021-08-09,2021-08-13,2020-08-24,2021-08-06,2021-08-06,2,0,0.0
33,2021-08-16,2021-08-20,2020-08-31,2021-08-13,2021-08-13,3,0,0.0
34,2021-08-23,2021-08-27,2020-09-07,2021-08-20,2021-08-20,2,0,0.0
35,2021-08-30,2021-09-03,2020-09-14,2021-08-27,2021-08-27,0,0,0.0
36,2021-09-06,2021-09-10,2020-09-21,2021-09-03,2021-09-03,2,1,21.3862979914037
37,2021-09-13,2021-09-17,2020-09-28,2021-09-10,2021-09-10,1,1,3.9732545514058693
38,2021-09-20,2021-09-24,2020-10-05,2021-09-17,2021-09-17,2,1,0.08844696189642676
39,2021-09-27,2021-10-01,2020-10-12,2021-09-24,2021-09-24,2,0,0.0
40,2021-10-04,2021-10-08,2020-10-19,2021-10-01,2021-10-01,3,2,2.265142901600581
41,2021-10-11,2021-10-15,2020-10-26,2021-10-08,2021-10-08,5,0,0.0
42,2021-10-18,2021-10-22,2020-11-02,2021-10-15,2021-10-15,9,3,-0.8201929259958218
43,2021-10-25,2021-10-29,2020-11-09,2021-10-22,2021-10-22,5,4,1.6074749935696797
44,2021-11-01,2021-11-05,2020-11-16,2021-10-29,2021-10-29,5,0,0.0
45,2021-11-08,2021-11-12,2020-11-23,2021-11-05,2021-11-05,6,2,3.847422952197488
46,2021-11-15,2021-11-19,2020-11-30,2021-11-12,2021-11-12,10,0,0.0
47,2021-11-22,2021-11-26,2020-12-07,2021-11-19,2021-11-19,5,0,0.0
48,2021-11-29,2021-12-03,2020-12-14,2021-11-26,2021-11-26,7,2,7.9634194944403935
49,2021-12-06,2021-12-10,2020-12-21,2021-12-03,2021-12-03,10,2,3.8356331333333493
50,2021-12-13,2021-12-17,2020-12-28,2021-12-10,2021-12-10,9,1,0.5314694946884968
51,2021-12-20,2021-12-24,2021-01-04,2021-12-17,2021-12-17,9,0,0.0
52,2021-12-27,2021-12-31,2021-01-11,2021-12-24,2021-12-24,10,3,-10.055062795707093
53,2022-01-03,2022-01-07,2021-01-18,2021-12-31,2021-12-31,6,2,-1.6312304609736095
54,2022-01-10,2022-01-14,2021-01-25,2022-01-07,2022-01-07,8,1,6.0597713246594465
55,2022-01-17,2022-01-21,2021-02-01,2022-01-14,2022-01-14,5,1,-1.072030087498388
56,2022-01-24,2022-01-28,2021-02-08,2022-01-21,2022-01-21,6,0,0.0
57,2022-01-31,2022-02-04,2021-02-15,2022-01-28,2022-01-28,3,1,0.9643968105258693
58,2022-02-07,2022-02-11,2021-02-22,2022-02-04,2022-02-04,9,1,-1.4606626492321473
59,2022-02-14,2022-02-18,2021-03-01,2022-02-11,2022-02-11,10,1,1.3466705018870817
60,2022-02-21,2022-02-25,2021-03-08,2022-02-18,2022-02-18,12,1,-0.6252620591424951
61,2022-02-28,2022-03-04,2021-03-15,2022-02-25,2022-02-25,11,1,1.9581446705445593
62,2022-03-07,2022-03-11,2021-03-22,2022-03-04,2022-03-04,17,1,2.0290897162713373
63,2022-03-14,2022-03-18,2021-03-29,2022-03-11,2022-03-11,18,3,-0.8168254700809396
64,2022-03-21,2022-03-25,2021-04-05,2022-03-18,2022-03-18,5,0,0.0
65,2022-03-28,2022-04-01,2021-04-12,2022-03-25,2022-03-25,7,0,0.0
