pair_hxy_threshold,threshold_h,threshold_alpha,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.5,0.1,0.2,3,0.01,-0.042809183923253474,1.2815125535044396,1.105982,-0.5303,-0.6145,46.43,-0.2633,0.7274,119.01645314687539,163.6236227949055,1
0.5,0.1,0.2,3,0.02,-0.04474840028685322,1.470876322607155,1.32241,-0.4829,-0.5372,49.34,-0.2716,0.7112,114.80133387877851,161.42916697767959,2
0.5,0.1,0.2,3,0.03,-0.0396671809125028,1.471849929245846,1.319444,-0.4278,-0.4772,46.59,-0.2638,0.735,114.62124137628619,155.9544438871141,3
0.5,0.1,0.2,3,0.04,-0.011451149991246568,1.201525911275086,0.982567,-0.1513,-0.185,32.68,-0.1449,0.8998,107.13713893638703,119.06923722726594,4
0.5,0.1,0.2,3,0.05,0.0061756773610662456,1.1838052474391325,0.952298,0.0828,0.1029,25.08,-0.0141,1.0638,107.357286545773,100.92223073554199,5
0.5,0.1,0.2,3,0.06,-0.0013843034587620994,1.1629679944979767,0.944923,-0.0189,-0.0233,25.78,-0.0844,0.985,94.63304616501063,96.07549036904075,6
0.5,0.1,0.2,3,0.07,-0.0027031918048609892,1.1666062870757268,0.947223,-0.0368,-0.0453,26.44,-0.0949,0.9716,96.3442525341414,99.16097839480655,7
0.5,0.1,0.2,3,0.08,-0.004614198987344009,1.1407304553273279,0.928678,-0.0642,-0.0789,26.56,-0.1093,0.9474,86.62817795951372,91.4361733043262,8
0.5,0.1,0.2,3,0.09,-0.0009950650042188142,1.1389257503249162,0.926451,-0.0139,-0.0171,26.56,-0.0757,0.9882,86.62817795951372,87.66503569390974,9
0.5,0.1,0.2,3,0.1,-0.002342073244094539,1.1192702585186696,0.918001,-0.0332,-0.0405,27.42,-0.0834,0.9699,78.5719407635154,81.01238108386192,10
0.5,0.1,0.2,3,0.11,-0.0018117903080015676,1.055826045920954,0.888796,-0.0272,-0.0324,25.3,-0.0786,0.9717,64.87298994056428,66.76087544150192,11
0.5,0.1,0.2,3,0.12,-0.0018117903080015676,1.055826045920954,0.888796,-0.0272,-0.0324,25.3,-0.0786,0.9717,64.87298994056428,66.76087544150192,12
0.5,0.1,0.2,3,0.13,-0.020423021967370957,1.0289536528131538,0.888205,-0.3151,-0.365,31.47,-0.2039,0.674,44.006127866714415,65.28691675671496,13
0.5,0.1,0.2,3,0.14,-0.020423021967370957,1.0289536528131538,0.888205,-0.3151,-0.365,31.47,-0.2039,0.674,44.006127866714415,65.28691675671496,14
0.5,0.1,0.2,3,0.15,-0.02037073268009524,1.0303459046542012,0.888728,-0.3139,-0.3639,31.45,-0.2037,0.6765,44.396416200448556,65.6227196531078,15
0.5,0.1,0.2,4,0.01,-0.012391024530717679,1.2174410678627368,1.039588,-0.1616,-0.1892,30.99,-0.1623,0.9012,117.7357996773199,130.64724723832768,16
0.5,0.1,0.2,4,0.02,-0.011728119909260887,1.2030749830918068,1.037304,-0.1548,-0.1795,32.34,-0.1495,0.9041,115.24506256815062,127.4657635136005,17
0.5,0.1,0.2,4,0.03,-0.029798814797950227,1.4144106169858066,1.286583,-0.3344,-0.3677,46.75,-0.2116,0.771,104.54087491776616,135.59123993723028,18
0.5,0.1,0.2,4,0.04,-0.03753118315423737,1.407215677480362,1.289433,-0.4234,-0.4621,49.67,-0.2337,0.7102,95.8386740846692,134.9461669313845,19
0.5,0.1,0.2,4,0.05,-0.032957490177091125,1.4229767490413239,1.29599,-0.3677,-0.4037,49.25,-0.2159,0.7464,101.0560396343609,135.39774439888984,20
0.5,0.1,0.2,4,0.06,-0.03524217956398198,1.441497822544946,1.302518,-0.3881,-0.4295,49.21,-0.2278,0.7357,102.21556324856489,138.9379143542341,21
0.5,0.1,0.2,4,0.07,-0.017967090770144294,1.4664576047304276,1.29214,-0.1945,-0.2207,46.73,-0.1569,0.8538,109.33721272656585,128.05892130905622,22
0.5,0.1,0.2,4,0.08,-0.02884556169764578,1.4466531534108316,1.28733,-0.3165,-0.3557,47.27,-0.2068,0.7542,92.22024855715148,122.2773238460984,23
0.5,0.1,0.2,4,0.09,-0.03148304019277567,1.3942824347285008,1.258788,-0.3584,-0.397,48.3,-0.2113,0.6851,71.36446482721135,104.16979270808359,24
0.5,0.1,0.2,4,0.1,-0.04038305360900402,1.3865011575629025,1.258611,-0.4624,-0.5093,51.69,-0.2355,0.5951,61.84073733617067,103.91987919675287,25
0.5,0.1,0.2,4,0.11,-0.0403307643217283,1.3875354456446352,1.258981,-0.4614,-0.5085,51.68,-0.2354,0.5969,62.231025669904824,104.25568209314571,26
0.5,0.1,0.2,4,0.12,-0.03886410847849206,1.4099752909345484,1.257562,-0.4376,-0.4906,52.6,-0.2263,0.6048,61.96309280646637,102.4594938410551,27
0.5,0.1,0.2,4,0.13,-0.05837257320439282,1.2913353455715877,1.237767,-0.7176,-0.7486,50.9,-0.3105,0.3288,29.794775722027754,90.61899700100507,28
0.5,0.1,0.2,4,0.14,-0.059322532181467776,1.2854173750291695,1.235519,-0.7326,-0.7622,51.35,-0.3114,0.2913,25.408271278491373,87.2223498115808,29
0.5,0.1,0.2,4,0.15,-0.059322532181467776,1.2854173750291695,1.235519,-0.7326,-0.7622,51.35,-0.3114,0.2913,25.408271278491373,87.2223498115808,30
0.5,0.1,0.2,5,0.01,-0.02035910464261193,1.2528813366808378,1.049874,-0.258,-0.3078,32.93,-0.2132,0.8506,120.82023306251648,142.0344201001181,31
0.5,0.1,0.2,5,0.02,-0.0355333423946145,1.4712976959220323,1.302774,-0.3834,-0.433,45.7,-0.2486,0.7635,119.53608015123194,156.5618229264202,32
0.5,0.1,0.2,5,0.03,-0.03517034484851816,1.460842162471889,1.295049,-0.3822,-0.4311,45.39,-0.2478,0.7558,113.3966694217053,150.0441687538612,33
0.5,0.1,0.2,5,0.04,-0.040298941833853574,1.4333669584195357,1.290693,-0.4463,-0.4956,49.46,-0.2487,0.7088,102.22565083782334,144.21714822869873,34
0.5,0.1,0.2,5,0.05,-0.03943450536320367,1.4421360410051516,1.296791,-0.4341,-0.4827,49.57,-0.2449,0.7224,106.91659259373351,148.0073471821917,35
0.5,0.1,0.2,5,0.06,-0.032131544676272425,1.4368671104706787,1.288761,-0.355,-0.3958,45.13,-0.2324,0.7612,106.71853296101719,140.19960251369304,36
0.5,0.1,0.2,5,0.07,-0.04157358557613146,1.4465024407062541,1.301705,-0.4562,-0.507,51.08,-0.2472,0.6945,98.48137033119183,141.8010465015208,37
0.5,0.1,0.2,5,0.08,-0.04313097846811859,1.4332767088394391,1.296425,-0.4777,-0.5281,50.93,-0.2539,0.6679,90.39132280049789,135.33380236427746,38
0.5,0.1,0.2,5,0.09,-0.049747410360352684,1.4157427120658688,1.294078,-0.5578,-0.6103,52.09,-0.2748,0.6025,78.55713813527193,130.3939397307594,39
0.5,0.1,0.2,5,0.1,-0.050092220279001246,1.4155068574650371,1.293086,-0.5618,-0.615,52.5,-0.2741,0.5963,77.08800132004352,129.2840948507628,40
0.5,0.1,0.2,5,0.11,-0.060096622492478796,1.4125624560417707,1.296335,-0.6754,-0.7359,57.44,-0.2875,0.5217,68.29673655397875,130.91741719114168,41
0.5,0.1,0.2,5,0.12,-0.06191324413180069,1.4048640955406375,1.2931,-0.6996,-0.7601,57.22,-0.2949,0.4936,62.894448824621996,127.40804920995829,42
0.5,0.1,0.2,5,0.13,-0.04713591245450375,1.3750318821171708,1.2608,-0.5442,-0.5935,51.9,-0.2625,0.551,60.2762440122793,109.39186478987222,43
0.5,0.1,0.2,5,0.14,-0.04713591245450375,1.3750318821171708,1.2608,-0.5442,-0.5935,51.9,-0.2625,0.551,60.2762440122793,109.39186478987222,44
0.5,0.1,0.2,5,0.15,-0.04351677847137855,1.373647206927043,1.259161,-0.5029,-0.5486,51.9,-0.2472,0.5707,60.2762440122793,105.62072717945577,45
0.5,0.1,0.2,6,0.01,-0.013941723862865251,1.2486392210110477,1.042038,-0.1772,-0.2124,30.66,-0.1791,0.8931,121.40720583088873,135.9344820959943,46
0.5,0.1,0.2,6,0.02,-0.03020028825609438,1.4621681018828077,1.292374,-0.3279,-0.371,43.69,-0.2319,0.7886,117.41541375332434,148.88411411617466,47
0.5,0.1,0.2,6,0.03,-0.033102740215275504,1.4366747756855107,1.288417,-0.3658,-0.4079,46.08,-0.2324,0.7611,109.8994625089891,144.39251781330617,48
0.5,0.1,0.2,6,0.04,-0.03072111302987606,1.4381115791113674,1.286731,-0.3391,-0.379,44.92,-0.2265,0.7749,110.18218179553263,142.19358157266348,49
0.5,0.1,0.2,6,0.05,-0.03064877731134516,1.4351214368784586,1.286078,-0.339,-0.3783,44.83,-0.2264,0.771,107.5037897481453,139.43981570656695,50
0.5,0.1,0.2,6,0.06,-0.035736853078420956,1.4341116891194134,1.288286,-0.3956,-0.4404,46.65,-0.242,0.7342,102.88052891046596,140.11832981818057,51
