Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2021-01-04,2021-01-08,2020-01-20,2021-01-01,2021-01-01,1,1,-4.139407274098428
2,2021-01-11,2021-01-15,2020-01-27,2021-01-08,2021-01-08,1,0,0.0
3,2021-01-18,2021-01-22,2020-02-03,2021-01-15,2021-01-15,0,0,0.0
4,2021-01-25,2021-01-29,2020-02-10,2021-01-22,2021-01-22,0,0,0.0
5,2021-02-01,2021-02-05,2020-02-17,2021-01-29,2021-01-29,0,0,0.0
6,2021-02-08,2021-02-12,2020-02-24,2021-02-05,2021-02-05,0,0,0.0
7,2021-02-15,2021-02-19,2020-03-02,2021-02-12,2021-02-12,0,0,0.0
8,2021-02-22,2021-02-26,2020-03-09,2021-02-19,2021-02-19,1,1,5.270249680908301
9,2021-03-01,2021-03-05,2020-03-16,2021-02-26,2021-02-26,37,7,-2.3983853262337873
10,2021-03-08,2021-03-12,2020-03-23,2021-03-05,2021-03-05,36,9,-0.10343967887392891
11,2021-03-15,2021-03-19,2020-03-30,2021-03-12,2021-03-12,20,13,1.1054911496859
12,2021-03-22,2021-03-26,2020-04-06,2021-03-19,2021-03-19,39,11,0.5620113977636176
13,2021-03-29,2021-04-02,2020-04-13,2021-03-26,2021-03-26,25,3,-0.3026140341317207
14,2021-04-05,2021-04-09,2020-04-20,2021-04-02,2021-04-02,33,22,1.7188840729586818
15,2021-04-12,2021-04-16,2020-04-27,2021-04-09,2021-04-09,28,15,4.083113380192938
16,2021-04-19,2021-04-23,2020-05-04,2021-04-16,2021-04-16,39,34,1.8721839950563979
17,2021-04-26,2021-04-30,2020-05-11,2021-04-23,2021-04-23,10,4,0.7893460243057815
18,2021-05-03,2021-05-07,2020-05-18,2021-04-30,2021-04-30,15,1,4.29671628272521
19,2021-05-10,2021-05-14,2020-05-25,2021-05-07,2021-05-07,7,5,-7.826717740225586
20,2021-05-17,2021-05-21,2020-06-01,2021-05-14,2021-05-14,24,11,-2.6755318814442264
21,2021-05-24,2021-05-28,2020-06-08,2021-05-21,2021-05-21,12,5,2.3750330944203313
22,2021-05-31,2021-06-04,2020-06-15,2021-05-28,2021-05-28,5,0,0.0
23,2021-06-07,2021-06-11,2020-06-22,2021-06-04,2021-06-04,4,3,1.7409142349885665
24,2021-06-14,2021-06-18,2020-06-29,2021-06-11,2021-06-11,3,3,-0.7893919720376563
25,2021-06-21,2021-06-25,2020-07-06,2021-06-18,2021-06-18,3,0,0.0
26,2021-06-28,2021-07-02,2020-07-13,2021-06-25,2021-06-25,11,4,-5.856483728578765
27,2021-07-05,2021-07-09,2020-07-20,2021-07-02,2021-07-02,8,2,1.2805356285418457
28,2021-07-12,2021-07-16,2020-07-27,2021-07-09,2021-07-09,5,0,0.0
29,2021-07-19,2021-07-23,2020-08-03,2021-07-16,2021-07-16,4,1,0.021379062836746066
30,2021-07-26,2021-07-30,2020-08-10,2021-07-23,2021-07-23,15,6,0.893468815477827
31,2021-08-02,2021-08-06,2020-08-17,2021-07-30,2021-07-30,5,0,0.0
32,2021-08-09,2021-08-13,2020-08-24,2021-08-06,2021-08-06,15,4,8.551422269984755
33,2021-08-16,2021-08-20,2020-08-31,2021-08-13,2021-08-13,7,3,-1.831701939075736
34,2021-08-23,2021-08-27,2020-09-07,2021-08-20,2021-08-20,12,2,-0.47090794265228775
35,2021-08-30,2021-09-03,2020-09-14,2021-08-27,2021-08-27,4,0,0.0
36,2021-09-06,2021-09-10,2020-09-21,2021-09-03,2021-09-03,5,2,1.2945309488739953
37,2021-09-13,2021-09-17,2020-09-28,2021-09-10,2021-09-10,2,1,4.920557752701971
38,2021-09-20,2021-09-24,2020-10-05,2021-09-17,2021-09-17,2,1,-1.8140095564702197
39,2021-09-27,2021-10-01,2020-10-12,2021-09-24,2021-09-24,1,1,5.3875452063830265
40,2021-10-04,2021-10-08,2020-10-19,2021-10-01,2021-10-01,0,0,0.0
41,2021-10-11,2021-10-15,2020-10-26,2021-10-08,2021-10-08,0,0,0.0
42,2021-10-18,2021-10-22,2020-11-02,2021-10-15,2021-10-15,0,0,0.0
43,2021-10-25,2021-10-29,2020-11-09,2021-10-22,2021-10-22,0,0,0.0
44,2021-11-01,2021-11-05,2020-11-16,2021-10-29,2021-10-29,0,0,0.0
45,2021-11-08,2021-11-12,2020-11-23,2021-11-05,2021-11-05,0,0,0.0
46,2021-11-15,2021-11-19,2020-11-30,2021-11-12,2021-11-12,0,0,0.0
47,2021-11-22,2021-11-26,2020-12-07,2021-11-19,2021-11-19,2,0,0.0
48,2021-11-29,2021-12-03,2020-12-14,2021-11-26,2021-11-26,1,1,11.477547817655708
49,2021-12-06,2021-12-10,2020-12-21,2021-12-03,2021-12-03,0,0,0.0
50,2021-12-13,2021-12-17,2020-12-28,2021-12-10,2021-12-10,6,0,0.0
51,2021-12-20,2021-12-24,2021-01-04,2021-12-17,2021-12-17,11,4,-0.24103645326093437
52,2021-12-27,2021-12-31,2021-01-11,2021-12-24,2021-12-24,1,0,0.0
53,2022-01-03,2022-01-07,2021-01-18,2021-12-31,2021-12-31,1,0,0.0
54,2022-01-10,2022-01-14,2021-01-25,2022-01-07,2022-01-07,0,0,0.0
55,2022-01-17,2022-01-21,2021-02-01,2022-01-14,2022-01-14,2,0,0.0
56,2022-01-24,2022-01-28,2021-02-08,2022-01-21,2022-01-21,6,2,-0.6194018553608571
57,2022-01-31,2022-02-04,2021-02-15,2022-01-28,2022-01-28,1,0,0.0
58,2022-02-07,2022-02-11,2021-02-22,2022-02-04,2022-02-04,4,0,0.0
59,2022-02-14,2022-02-18,2021-03-01,2022-02-11,2022-02-11,4,0,0.0
