rho_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.4,3,0.01,-26.173413141127767,11.689524982407638,9.375846,-2.239,-2.7916,68.78,-0.3426,0.6574,207.62839120157662,315.8533772851287,1
0.4,3,0.02,-27.225516948286,14.196871861394172,11.709015,-1.9177,-2.3252,69.99,-0.3518,0.6857,245.60986574676323,358.1852175726125,2
0.4,3,0.03,-28.32858529805572,16.982878356670728,14.102038,-1.6681,-2.0088,71.93,-0.3586,0.7118,289.3519529341739,406.48840484121376,3
0.4,3,0.04,-28.18473548151543,19.1977842965744,15.506233,-1.4681,-1.8176,73.9,-0.3516,0.7453,341.05018879040773,457.5918331227057,4
0.4,3,0.05,-21.619924865757646,20.42714311906602,15.054983,-1.0584,-1.4361,71.88,-0.2938,0.8172,399.748724223427,489.145397676282,5
0.4,3,0.06,-20.64285836754468,22.600713812883193,16.578252,-0.9134,-1.2452,72.07,-0.2874,0.8377,440.42893743517004,525.7855184628747,6
0.4,3,0.07,-20.443061934385607,23.670302491311155,17.803439,-0.8637,-1.1483,72.27,-0.2872,0.8445,458.9787114029371,543.5091500363887,7
0.4,3,0.08,-23.985092504297892,26.3008756709462,20.083144,-0.912,-1.1943,73.02,-0.3291,0.8319,490.6368188937729,589.8132728202745,8
0.4,3,0.09,-20.007199988881226,28.118741349199727,21.504852,-0.7115,-0.9304,75.01,-0.2845,0.8624,518.4932950013045,601.2214790823134,9
0.4,3,0.1,-22.47825184706883,28.817996882051055,22.142861,-0.78,-1.0151,76.07,-0.3079,0.8468,513.7119108838148,606.6576982832025,10
0.4,3,0.11,-14.21222234329379,29.093634975929273,21.76666,-0.4885,-0.6529,69.34,-0.2433,0.8986,520.7196292672917,579.4860407026572,11
0.4,3,0.12,-23.72198138840241,30.282622908404516,23.424064,-0.7834,-1.0127,78.45,-0.3149,0.8326,487.96328776266125,586.0517981067694,12
0.4,3,0.13,-21.445957824467733,32.520854245181894,25.100553,-0.6595,-0.8544,74.4,-0.3166,0.8458,486.4885683781333,575.1659019221626,13
0.4,3,0.14,-24.152580368802063,29.919071771001526,24.07207,-0.8073,-1.0033,73.02,-0.3426,0.8082,420.9361688542804,520.8051718078191,14
0.4,3,0.15,-22.643563107075078,29.834404420238858,23.597567,-0.759,-0.9596,71.55,-0.3332,0.8133,407.7844744493923,501.41381078896467,15
0.4,4,0.01,-28.274396442099047,11.6365126896433,8.886681,-2.4298,-3.1817,72.67,-0.3461,0.6271,196.6386725928389,313.5510578812008,16
0.4,4,0.02,-29.610807361188446,13.272286737027628,10.399771,-2.231,-2.8473,74.1,-0.3549,0.6527,230.10420928555942,352.5425476599974,17
0.4,4,0.03,-32.32161458677601,15.56921596102121,12.331831,-2.076,-2.621,78.0,-0.3656,0.6656,265.96195796102194,399.60926906983383,18
0.4,4,0.04,-32.48483060726042,18.292031769925725,14.658328,-1.7759,-2.2161,80.85,-0.3583,0.7022,316.66175365603044,450.98395005589305,19
0.4,4,0.05,-33.239225712187235,20.061976827666328,16.000261,-1.6568,-2.0774,82.9,-0.3588,0.7198,353.07105634201264,490.51261662812016,20
