Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2021-01-04,2021-01-08,2020-01-20,2021-01-01,2021-01-01,51,5,-2.0327888452178366
2,2021-01-11,2021-01-15,2020-01-27,2021-01-08,2021-01-08,44,18,-0.6092478347868968
3,2021-01-18,2021-01-22,2020-02-03,2021-01-15,2021-01-15,45,5,0.12421755500293674
4,2021-01-25,2021-01-29,2020-02-10,2021-01-22,2021-01-22,47,0,0.0
5,2021-02-01,2021-02-05,2020-02-17,2021-01-29,2021-01-29,52,1,1.204336671222106
6,2021-02-08,2021-02-12,2020-02-24,2021-02-05,2021-02-05,51,13,1.0573899709032109
7,2021-02-15,2021-02-19,2020-03-02,2021-02-12,2021-02-12,46,21,-0.3549609407734966
8,2021-02-22,2021-02-26,2020-03-09,2021-02-19,2021-02-19,39,2,-8.141508394351716
9,2021-03-01,2021-03-05,2020-03-16,2021-02-26,2021-02-26,15,1,1.8042644261448526
10,2021-03-08,2021-03-12,2020-03-23,2021-03-05,2021-03-05,15,0,0.0
11,2021-03-15,2021-03-19,2020-03-30,2021-03-12,2021-03-12,14,0,0.0
12,2021-03-22,2021-03-26,2020-04-06,2021-03-19,2021-03-19,12,0,0.0
13,2021-03-29,2021-04-02,2020-04-13,2021-03-26,2021-03-26,12,0,0.0
14,2021-04-05,2021-04-09,2020-04-20,2021-04-02,2021-04-02,11,4,1.5374389772934816
15,2021-04-12,2021-04-16,2020-04-27,2021-04-09,2021-04-09,12,2,-1.0756771681458388
16,2021-04-19,2021-04-23,2020-05-04,2021-04-16,2021-04-16,12,6,-1.907694884211386
17,2021-04-26,2021-04-30,2020-05-11,2021-04-23,2021-04-23,9,1,1.6615502881105915
18,2021-05-03,2021-05-07,2020-05-18,2021-04-30,2021-04-30,9,0,0.0
19,2021-05-10,2021-05-14,2020-05-25,2021-05-07,2021-05-07,10,4,-9.857129681994293
20,2021-05-17,2021-05-21,2020-06-01,2021-05-14,2021-05-14,10,2,4.11670698979687
21,2021-05-24,2021-05-28,2020-06-08,2021-05-21,2021-05-21,15,0,0.0
22,2021-05-31,2021-06-04,2020-06-15,2021-05-28,2021-05-28,15,3,3.385724516163102
23,2021-06-07,2021-06-11,2020-06-22,2021-06-04,2021-06-04,15,1,-1.0110420963619804
24,2021-06-14,2021-06-18,2020-06-29,2021-06-11,2021-06-11,15,0,0.0
25,2021-06-21,2021-06-25,2020-07-06,2021-06-18,2021-06-18,15,0,0.0
26,2021-06-28,2021-07-02,2020-07-13,2021-06-25,2021-06-25,15,0,0.0
27,2021-07-05,2021-07-09,2020-07-20,2021-07-02,2021-07-02,15,1,2.956693459390447
28,2021-07-12,2021-07-16,2020-07-27,2021-07-09,2021-07-09,15,0,0.0
29,2021-07-19,2021-07-23,2020-08-03,2021-07-16,2021-07-16,15,0,0.0
30,2021-07-26,2021-07-30,2020-08-10,2021-07-23,2021-07-23,18,2,1.9859792734901571
31,2021-08-02,2021-08-06,2020-08-17,2021-07-30,2021-07-30,22,4,2.639337082872162
32,2021-08-09,2021-08-13,2020-08-24,2021-08-06,2021-08-06,20,0,0.0
33,2021-08-16,2021-08-20,2020-08-31,2021-08-13,2021-08-13,21,1,-7.5742386025299036
34,2021-08-23,2021-08-27,2020-09-07,2021-08-20,2021-08-20,24,2,6.193233723693603
35,2021-08-30,2021-09-03,2020-09-14,2021-08-27,2021-08-27,24,8,7.742322996181916
36,2021-09-06,2021-09-10,2020-09-21,2021-09-03,2021-09-03,30,4,19.745460164117688
37,2021-09-13,2021-09-17,2020-09-28,2021-09-10,2021-09-10,28,6,8.513781999917459
38,2021-09-20,2021-09-24,2020-10-05,2021-09-17,2021-09-17,26,3,16.790796849681634
39,2021-09-27,2021-10-01,2020-10-12,2021-09-24,2021-09-24,29,4,1.6701457403659026
40,2021-10-04,2021-10-08,2020-10-19,2021-10-01,2021-10-01,30,0,0.0
41,2021-10-11,2021-10-15,2020-10-26,2021-10-08,2021-10-08,28,0,0.0
42,2021-10-18,2021-10-22,2020-11-02,2021-10-15,2021-10-15,28,0,0.0
43,2021-10-25,2021-10-29,2020-11-09,2021-10-22,2021-10-22,27,0,0.0
44,2021-11-01,2021-11-05,2020-11-16,2021-10-29,2021-10-29,28,0,0.0
45,2021-11-08,2021-11-12,2020-11-23,2021-11-05,2021-11-05,24,0,0.0
46,2021-11-15,2021-11-19,2020-11-30,2021-11-12,2021-11-12,26,2,3.4420565674607495
47,2021-11-22,2021-11-26,2020-12-07,2021-11-19,2021-11-19,25,0,0.0
48,2021-11-29,2021-12-03,2020-12-14,2021-11-26,2021-11-26,25,4,4.255603361942173
49,2021-12-06,2021-12-10,2020-12-21,2021-12-03,2021-12-03,25,1,7.434181498382397
50,2021-12-13,2021-12-17,2020-12-28,2021-12-10,2021-12-10,21,0,0.0
51,2021-12-20,2021-12-24,2021-01-04,2021-12-17,2021-12-17,22,0,0.0
