Ticker,Mean,Max,Min,Std.,Skewness,Kurtosis,J-B test ,ADF test 
INDEX,0.0015,0.1881,-0.274,0.0385,-0.6314,4.8779,1641.96,-26.89
ADA,0.0015,0.3215,-0.5372,0.0612,-0.0388,7.1206,3279.93,-13.8
ATOM,-0.0005,0.3815,-0.6102,0.0668,-0.7852,9.7161,6268.21,-43.32
BCH,0.0007,0.4242,-0.5977,0.0588,-0.4489,14.4125,13495.38,-14.82
BNB,0.0026,0.5306,-0.5812,0.0523,-0.5525,22.37,32470.82,-26.73
BTC,0.0016,0.1918,-0.4973,0.0392,-1.469,19.8959,26182.97,-14.58
DASH,-0.0,0.8117,-0.7057,0.0725,0.6678,26.6647,46141.28,-41.68
DOGE,0.0026,4.1418,-4.1559,0.1699,0.4901,459.3369,13661683.21,-17.09
EOS,-0.0008,0.4458,-0.6346,0.0715,-1.04,13.0586,11316.76,-17.99
ETC,0.0006,0.5189,-0.5614,0.0635,0.1871,12.0609,9422.21,-9.78
ETH,0.002,0.3574,-0.5896,0.0524,-0.9653,15.0394,14880.55,-14.67
LINK,0.0012,0.3329,-0.6372,0.0653,-0.8745,9.7235,6316.12,-27.38
LTC,0.0004,0.249,-0.4867,0.0556,-1.0644,9.2631,5846.1,-15.33
NEO,-0.0006,0.4256,-0.5115,0.0634,-0.5677,9.1111,5454.44,-42.91
TRX,0.002,0.6745,-0.5708,0.0523,0.4739,33.7455,73777.24,-11.9
VET,0.0004,0.3435,-0.6686,0.0682,-0.5257,9.5367,5956.18,-26.74
XLM,0.001,0.5536,-0.4403,0.0608,1.2129,15.3504,15632.59,-12.56
XMR,0.0014,0.3422,-0.5354,0.052,-1.8703,21.046,29580.02,-45.46
XRP,0.0014,0.6227,-0.541,0.0628,0.8449,19.5607,24951.02,-39.69
XTZ,-0.0006,0.4522,-0.6144,0.0639,-0.5333,11.7269,8972.7,-28.0
ZEC,0.0019,0.4838,-0.5489,0.0687,-0.2435,7.2372,3403.27,-26.46
