Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2022-01-03,2022-01-07,2021-01-18,2021-12-31,2021-12-31,6,2,-1.6312304609736095
2,2022-01-10,2022-01-14,2021-01-25,2022-01-07,2022-01-07,8,1,6.0597713246594465
3,2022-01-17,2022-01-21,2021-02-01,2022-01-14,2022-01-14,5,1,-1.072030087498388
4,2022-01-24,2022-01-28,2021-02-08,2022-01-21,2022-01-21,6,0,0.0
5,2022-01-31,2022-02-04,2021-02-15,2022-01-28,2022-01-28,3,1,0.9643968105258693
6,2022-02-07,2022-02-11,2021-02-22,2022-02-04,2022-02-04,9,1,-1.4606626492321473
7,2022-02-14,2022-02-18,2021-03-01,2022-02-11,2022-02-11,10,1,1.3466705018870817
8,2022-02-21,2022-02-25,2021-03-08,2022-02-18,2022-02-18,12,1,-0.6252620591424951
9,2022-02-28,2022-03-04,2021-03-15,2022-02-25,2022-02-25,11,1,1.9581446705445593
10,2022-03-07,2022-03-11,2021-03-22,2022-03-04,2022-03-04,17,1,2.0290897162713373
11,2022-03-14,2022-03-18,2021-03-29,2022-03-11,2022-03-11,18,3,-0.8168254700809396
12,2022-03-21,2022-03-25,2021-04-05,2022-03-18,2022-03-18,5,0,0.0
13,2022-03-28,2022-04-01,2021-04-12,2022-03-25,2022-03-25,7,0,0.0
14,2022-04-04,2022-04-08,2021-04-19,2022-04-01,2022-04-01,1,0,0.0
15,2022-04-11,2022-04-15,2021-04-26,2022-04-08,2022-04-08,2,0,0.0
16,2022-04-18,2022-04-22,2021-05-03,2022-04-15,2022-04-15,2,0,0.0
17,2022-04-25,2022-04-29,2021-05-10,2022-04-22,2022-04-22,1,0,0.0
18,2022-05-02,2022-05-06,2021-05-17,2022-04-29,2022-04-29,9,0,0.0
19,2022-05-09,2022-05-13,2021-05-24,2022-05-06,2022-05-06,10,1,-3.6299253534927356
20,2022-05-16,2022-05-20,2021-05-31,2022-05-13,2022-05-13,17,4,-2.190328785187945
21,2022-05-23,2022-05-27,2021-06-07,2022-05-20,2022-05-20,15,1,-3.2760146893509035
22,2022-05-30,2022-06-03,2021-06-14,2022-05-27,2022-05-27,14,3,-2.2951534470767587
23,2022-06-06,2022-06-10,2021-06-21,2022-06-03,2022-06-03,18,0,0.0
24,2022-06-13,2022-06-17,2021-06-28,2022-06-10,2022-06-10,18,1,6.405690003029241
25,2022-06-20,2022-06-24,2021-07-05,2022-06-17,2022-06-17,12,2,-3.0692208554927713
26,2022-06-27,2022-07-01,2021-07-12,2022-06-24,2022-06-24,18,2,-0.03453322481259402
27,2022-07-04,2022-07-08,2021-07-19,2022-07-01,2022-07-01,15,1,-0.38035593887357777
28,2022-07-11,2022-07-15,2021-07-26,2022-07-08,2022-07-08,27,0,0.0
29,2022-07-18,2022-07-22,2021-08-02,2022-07-15,2022-07-15,27,7,0.7065352823253601
30,2022-07-25,2022-07-29,2021-08-09,2022-07-22,2022-07-22,39,0,0.0
31,2022-08-01,2022-08-05,2021-08-16,2022-07-29,2022-07-29,19,3,-3.3426338244231912
32,2022-08-08,2022-08-12,2021-08-23,2022-08-05,2022-08-05,23,0,0.0
33,2022-08-15,2022-08-19,2021-08-30,2022-08-12,2022-08-12,25,6,-0.5074318395211108
34,2022-08-22,2022-08-26,2021-09-06,2022-08-19,2022-08-19,26,3,-1.9684441998850999
35,2022-08-29,2022-09-02,2021-09-13,2022-08-26,2022-08-26,19,0,0.0
36,2022-09-05,2022-09-09,2021-09-20,2022-09-02,2022-09-02,33,2,2.1361331512265824
37,2022-09-12,2022-09-16,2021-09-27,2022-09-09,2022-09-09,31,5,-3.753108663769178
38,2022-09-19,2022-09-23,2021-10-04,2022-09-16,2022-09-16,33,9,-1.0214691099633133
39,2022-09-26,2022-09-30,2021-10-11,2022-09-23,2022-09-23,29,1,-0.7958165684582186
40,2022-10-03,2022-10-07,2021-10-18,2022-09-30,2022-09-30,27,1,1.2298319683230474
41,2022-10-10,2022-10-14,2021-10-25,2022-10-07,2022-10-07,25,1,2.8988322354623897
42,2022-10-17,2022-10-21,2021-11-01,2022-10-14,2022-10-14,19,0,0.0
43,2022-10-24,2022-10-28,2021-11-08,2022-10-21,2022-10-21,12,0,0.0
44,2022-10-31,2022-11-04,2021-11-15,2022-10-28,2022-10-28,10,4,1.4374583896252346
45,2022-11-07,2022-11-11,2021-11-22,2022-11-04,2022-11-04,7,2,-0.12556829888451526
46,2022-11-14,2022-11-18,2021-11-29,2022-11-11,2022-11-11,13,0,0.0
47,2022-11-21,2022-11-25,2021-12-06,2022-11-18,2022-11-18,9,0,0.0
48,2022-11-28,2022-12-02,2021-12-13,2022-11-25,2022-11-25,3,0,0.0
49,2022-12-05,2022-12-09,2021-12-20,2022-12-02,2022-12-02,6,0,0.0
50,2022-12-12,2022-12-16,2021-12-27,2022-12-09,2022-12-09,1,0,0.0
51,2022-12-19,2022-12-23,2022-01-03,2022-12-16,2022-12-16,4,0,0.0
52,2022-12-26,2022-12-30,2022-01-10,2022-12-23,2022-12-23,1,0,0.0
