"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2026","1.9530","1.9100","1.9590","1.8640","2.12M","2.25%"
"02/01/2026","1.9100","1.9710","1.9920","1.8760","1.63M","-3.14%"
"01/31/2026","1.9720","2.1120","2.1150","1.8180","2.47M","-6.63%"
"01/30/2026","2.1120","2.1280","2.1350","2.0510","1.37M","-0.71%"
"01/29/2026","2.1270","2.2370","2.2420","2.0820","1.59M","-4.92%"
"01/28/2026","2.2370","2.2450","2.3020","2.2190","2.11M","-0.31%"
"01/27/2026","2.2440","2.2240","2.2700","2.1890","1.37M","0.99%"
"01/26/2026","2.2220","2.2360","2.3140","2.2110","1.52M","-0.63%"
"01/25/2026","2.2360","2.3340","2.3370","2.2020","1.24M","-4.20%"
"01/24/2026","2.3340","2.3680","2.3860","2.2940","776.45K","-1.44%"
"01/23/2026","2.3680","2.3350","2.4190","2.3300","1.14M","1.41%"
"01/22/2026","2.3350","2.3820","2.4400","2.3270","1.01M","-1.97%"
"01/21/2026","2.3820","2.2950","2.4500","2.2930","3.26M","3.75%"
"01/20/2026","2.2960","2.4580","2.5450","2.2860","2.49M","-6.51%"
"01/19/2026","2.4560","2.4220","2.4840","2.2350","2.54M","1.19%"
"01/18/2026","2.4270","2.5680","2.5940","2.4230","1.20M","-5.45%"
"01/17/2026","2.5670","2.4940","2.6000","2.4890","1.07M","2.93%"
"01/16/2026","2.4940","2.4760","2.5080","2.4290","1.23M","0.69%"
"01/15/2026","2.4770","2.5840","2.5990","2.4450","1.40M","-4.07%"
"01/14/2026","2.5820","2.6360","2.6950","2.5710","1.94M","-2.05%"
"01/13/2026","2.6360","2.4870","2.6770","2.4860","1.66M","5.99%"
"01/12/2026","2.4870","2.5740","2.6530","2.4780","1.67M","-3.30%"
"01/11/2026","2.5720","2.5690","2.6420","2.5570","1.41M","0.08%"
"01/10/2026","2.5700","2.5920","2.6790","2.5450","2.41M","-0.85%"
"01/09/2026","2.5920","2.4610","2.6500","2.4110","3.18M","5.32%"
"01/08/2026","2.4610","2.4350","2.5010","2.3780","2.50M","1.15%"
"01/07/2026","2.4330","2.5300","2.5350","2.3950","2.23M","-3.91%"
"01/06/2026","2.5320","2.3690","2.5500","2.3530","2.30M","6.88%"
"01/05/2026","2.3690","2.3410","2.3890","2.2680","1.80M","1.20%"
"01/04/2026","2.3410","2.2390","2.3470","2.2300","1.99M","4.56%"
"01/03/2026","2.2390","2.1680","2.2600","2.1670","1.54M","3.27%"
"01/02/2026","2.1680","2.0690","2.1690","2.0590","1.50M","4.84%"
"01/01/2026","2.0680","1.9300","2.0790","1.9200","1.31M","7.15%"
"12/31/2025","1.9300","1.9670","1.9840","1.9070","832.10K","-1.93%"
