Date,Price
2/28/17,100
3/1/17,102.71
3/2/17,107.33
3/3/17,107.27
3/6/17,107.39
3/7/17,104.28
3/8/17,97.6
3/9/17,101.15
3/10/17,108.19
3/13/17,103.97
3/14/17,104.97
3/15/17,104.87
3/16/17,98.88
3/17/17,94.13
3/20/17,86.8
3/21/17,93.1
3/22/17,84.75
3/23/17,87.22
3/24/17,82.17
3/27/17,85.34
3/28/17,86.09
3/29/17,87.1
3/30/17,86.51
3/31/17,91
4/3/17,96.85
4/4/17,96.03
4/5/17,94.86
4/6/17,99.36
4/7/17,100.5
4/10/17,101.38
4/11/17,102.54
4/12/17,101.98
4/13/17,98.2
4/14/17,99.05
4/17/17,99.99
4/18/17,100.88
4/19/17,101.15
4/20/17,103.38
4/21/17,104.58
4/24/17,105.39
4/25/17,107.77
4/26/17,109.54
4/27/17,112.39
4/28/17,110.73
5/1/17,117.79
5/2/17,121.87
5/3/17,125.17
5/4/17,130.53
5/5/17,130.42
5/8/17,138.47
5/9/17,146.27
5/10/17,148.7
5/11/17,153.93
5/12/17,141.25
5/15/17,144.09
5/16/17,148.3
5/17/17,153.99
5/18/17,157.54
5/19/17,162.63
5/22/17,178.31
5/23/17,184.56
5/24/17,204.1
5/25/17,198.69
5/26/17,192.91
5/29/17,195.92
5/30/17,187.87
5/31/17,192.35
6/1/17,200.29
6/2/17,202.41
6/5/17,222.22
6/6/17,238.97
6/7/17,232.32
6/8/17,230.9
6/9/17,238.12
6/12/17,214.3
6/13/17,227.72
6/14/17,213.64
6/15/17,194.23
6/16/17,209.05
6/19/17,211.09
6/20/17,219.53
6/21/17,201.14
6/22/17,208.76
6/23/17,210.9
6/26/17,165.96
6/27/17,178.23
6/28/17,200.19
6/29/17,197.63
6/30/17,191.28
7/3/17,191.23
7/4/17,189.86
7/5/17,192.58
7/6/17,189.66
7/7/17,181.94
7/10/17,168.3
7/11/17,156.3
7/12/17,168.63
7/13/17,160.53
7/14/17,152.49
7/17/17,144.54
7/18/17,169.99
7/19/17,153.51
7/20/17,182.51
7/21/17,179
7/24/17,188.4
7/25/17,167.78
7/26/17,166.99
7/27/17,171.79
7/28/17,178.34
7/31/17,184.25
8/1/17,188.79
8/2/17,182.49
8/3/17,188.44
8/4/17,189.4
8/7/17,226.26
8/8/17,236.67
8/9/17,232.09
8/10/17,238.33
8/11/17,243.12
8/14/17,275.57
8/15/17,262.68
8/16/17,278.43
8/17/17,279.12
8/18/17,268.81
8/21/17,273.12
8/22/17,272.93
8/23/17,274.42
8/24/17,281.08
8/25/17,286.14
8/28/17,291.71
8/29/17,310.48
8/30/17,312.48
8/31/17,320.82
9/1/17,328.67
9/4/17,293.19
9/5/17,292.05
9/6/17,303.7
9/7/17,302.22
9/8/17,272.66
9/11/17,272.79
9/12/17,271.09
9/13/17,249.01
9/14/17,216.76
9/15/17,240.53
9/18/17,263.6
9/19/17,256.32
9/20/17,259.13
9/21/17,236.45
9/22/17,234.99
9/25/17,259.86
9/26/17,257.66
9/27/17,274.81
9/28/17,271.47
9/29/17,270.33
10/2/17,282.38
10/3/17,274.81
10/4/17,271.6
10/5/17,280.3
10/6/17,280.97
10/9/17,299.66
10/10/17,304.85
10/11/17,304.11
10/12/17,326.12
10/13/17,344.76
10/16/17,353.62
10/17/17,345.89
10/18/17,329.75
10/19/17,342.17
10/20/17,361.65
10/23/17,349.65
10/24/17,344.02
10/25/17,340.38
10/26/17,350.95
10/27/17,344.6
10/30/17,362.89
10/31/17,375.44
11/1/17,385
11/2/17,400.65
11/3/17,417.74
11/6/17,408.72
11/7/17,403.46
11/8/17,420.82
11/9/17,418.92
11/10/17,377.75
11/13/17,381.21
11/14/17,397.41
11/15/17,422.01
11/16/17,445.86
11/17/17,444.05
11/20/17,477.61
11/21/17,478.57
11/22/17,477.78
11/23/17,488.56
11/24/17,500.23
11/27/17,570.92
11/28/17,580.44
11/29/17,553.04
11/30/17,555.57
12/1/17,623.79
12/4/17,654.05
12/5/17,668.66
12/6/17,732.2
12/7/17,838.5
12/8/17,811.29
12/11/17,923.9
12/12/17,942.08
12/13/17,929.93
12/14/17,938.68
12/15/17,1004.37
12/18/17,1075.89
12/19/17,1068.64
12/20/17,1044.54
12/21/17,946.51
12/22/17,896.5
12/25/17,882.56
12/26/17,986.63
12/27/17,928.47
12/28/17,876.57
12/29/17,907.16
1/1/18,863.72
1/2/18,972.76
1/3/18,976.96
1/4/18,973.47
1/5/18,1052.05
1/8/18,1023.29
1/9/18,1038.49
1/10/18,1052.85
1/11/18,975.29
1/12/18,1012.22
1/15/18,1010.57
1/16/18,795.4
1/17/18,775.02
1/18/18,851.4
1/19/18,816.04
1/22/18,747.63
1/23/18,791.86
1/24/18,798.98
1/25/18,814.42
1/26/18,792.24
1/29/18,833.62
1/30/18,750.67
1/31/18,763.77
2/1/18,698.92
2/2/18,633.78
2/5/18,521.37
2/6/18,555.45
2/7/18,594.8
2/8/18,607.7
2/9/18,633.23
2/12/18,646.18
