"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2026","317.15","340.46","341.55","316.93","194.23K","-6.87%"
"01/30/2026","340.54","353.85","356.15","320.99","240.96K","-3.68%"
"01/29/2026","353.54","371.05","373.26","347.01","181.41K","-4.69%"
"01/28/2026","370.94","399.49","402.05","370.64","226.12K","-7.22%"
"01/27/2026","399.81","367.40","404.71","364.42","307.15K","8.76%"
"01/26/2026","367.62","329.28","371.80","328.16","287.25K","11.58%"
"01/25/2026","329.46","360.11","364.48","325.76","180.74K","-8.43%"
"01/24/2026","359.79","367.92","386.00","358.32","107.58K","-2.16%"
"01/23/2026","367.73","365.47","375.04","355.36","152.34K","0.60%"
"01/22/2026","365.52","355.74","368.51","353.14","164.82K","2.75%"
"01/21/2026","355.75","349.50","375.82","349.26","244.52K","1.71%"
"01/20/2026","349.76","369.18","371.42","342.84","357.69K","-5.27%"
"01/19/2026","369.23","376.52","379.32","339.89","305.75K","-1.97%"
"01/18/2026","376.66","400.31","401.59","375.24","151.15K","-5.92%"
"01/17/2026","400.35","411.02","412.03","397.54","111.85K","-2.62%"
"01/16/2026","411.12","413.91","417.48","400.09","188.59K","-0.86%"
"01/15/2026","414.68","447.06","448.94","403.46","340.68K","-7.27%"
"01/14/2026","447.18","404.30","448.90","403.69","437.46K","10.65%"
"01/13/2026","404.15","406.77","413.35","383.38","391.21K","-0.69%"
"01/12/2026","406.97","381.43","418.71","379.71","386.90K","6.64%"
"01/11/2026","381.62","375.57","399.12","372.29","237.21K","1.60%"
"01/10/2026","375.60","418.55","419.45","362.57","448.16K","-10.24%"
"01/09/2026","418.47","422.07","448.55","413.91","402.75K","-0.84%"
"01/08/2026","422.00","469.27","482.69","381.20","1.06M","-10.12%"
"01/07/2026","469.50","501.87","507.32","469.39","250.48K","-6.47%"
"01/06/2026","501.99","503.30","527.40","492.29","384.65K","-0.27%"
"01/05/2026","503.37","502.20","509.59","485.67","206.47K","0.16%"
"01/04/2026","502.57","511.67","517.39","494.56","187.74K","-1.81%"
"01/03/2026","511.82","488.31","519.16","488.31","258.62K","4.77%"
"01/02/2026","488.52","525.88","533.97","481.98","310.58K","-7.13%"
"01/01/2026","526.04","512.47","536.82","507.02","149.72K","2.68%"
"12/31/2025","512.29","529.28","532.59","501.60","500.44K","-3.27%"
"12/30/2025","529.61","540.41","544.48","523.61","242.09K","-2.06%"
"12/29/2025","540.74","529.70","557.03","510.12","485.08K","2.03%"
"12/28/2025","529.96","516.07","540.32","511.18","255.41K","2.69%"
"12/27/2025","516.06","448.14","524.84","444.93","508.35K","15.15%"
"12/26/2025","448.18","437.90","448.87","435.68","217.07K","2.31%"
"12/25/2025","438.04","448.62","455.08","435.99","242.49K","-2.36%"
"12/24/2025","448.64","417.26","451.75","404.93","345.79K","7.48%"
"12/23/2025","417.41","431.72","437.79","410.84","236.98K","-3.27%"
"12/22/2025","431.52","441.80","455.81","427.48","275.93K","-2.19%"
"12/21/2025","441.20","447.00","451.52","428.71","231.05K","-1.32%"
"12/20/2025","447.12","444.05","455.71","435.66","228.69K","0.77%"
"12/19/2025","443.72","388.22","457.17","384.85","392.71K","14.20%"
"12/18/2025","388.56","376.68","404.52","372.43","496.26K","3.18%"
"12/17/2025","376.60","403.97","411.26","372.24","377.44K","-6.91%"
"12/16/2025","404.56","413.20","414.33","374.83","467.31K","-2.19%"
"12/15/2025","413.63","404.12","418.47","388.47","572.68K","2.38%"
"12/14/2025","404.01","442.78","444.11","396.48","401.08K","-8.91%"
"12/13/2025","443.53","454.94","475.99","422.99","577.32K","-2.53%"
"12/12/2025","455.06","450.28","469.20","447.06","437.16K","0.90%"
"12/11/2025","451.01","403.40","469.68","390.59","740.67K","11.54%"
"12/10/2025","404.35","433.14","447.59","397.00","496.25K","-6.66%"
"12/09/2025","433.21","405.29","449.66","391.50","758.81K","6.80%"
"12/08/2025","405.61","342.95","425.31","341.48","865.78K","18.42%"
"12/07/2025","342.51","340.44","352.60","332.38","462.84K","0.30%"
"12/06/2025","341.50","359.96","361.92","327.13","542.79K","-5.10%"
"12/05/2025","359.84","367.34","408.81","351.88","929.02K","-2.10%"
"12/04/2025","367.56","339.42","369.42","335.70","615.63K","8.56%"
"12/03/2025","338.58","313.40","379.80","301.81","1.25M","8.22%"
"12/02/2025","312.87","344.47","382.78","306.57","1.15M","-8.55%"
"12/01/2025","342.12","428.32","429.80","324.52","1.24M","-20.03%"
"11/30/2025","427.80","460.34","470.02","426.54","377.67K","-7.07%"
"11/29/2025","460.37","452.54","473.88","438.70","273.58K","1.96%"
"11/28/2025","451.50","489.66","489.87","448.77","434.45K","-7.86%"
"11/27/2025","490.04","526.03","548.42","483.27","429.00K","-7.08%"
"11/26/2025","527.37","511.86","535.29","491.94","451.73K","3.09%"
"11/25/2025","511.58","518.23","533.88","483.44","642.34K","-1.64%"
"11/24/2025","520.13","573.14","593.64","516.00","626.51K","-9.26%"
"11/23/2025","573.19","518.41","609.59","514.80","760.61K","10.84%"
"11/22/2025","517.12","548.60","549.10","471.67","1.78M","-6.27%"
"11/21/2025","551.69","657.68","698.11","513.46","1.22M","-15.92%"
"11/20/2025","656.18","674.48","716.71","654.46","1.09M","-2.80%"
"11/19/2025","675.10","625.15","684.29","582.12","1.08M","8.06%"
"11/18/2025","624.77","610.76","654.72","546.53","1.19M","1.91%"
"11/17/2025","613.04","698.71","726.93","607.94","1.20M","-12.36%"
"11/16/2025","699.48","670.85","738.44","653.77","2.09M","4.17%"
"11/15/2025","671.45","607.96","735.80","599.15","1.44M","10.34%"
"11/14/2025","608.53","519.35","611.94","483.74","1.20M","17.15%"
"11/13/2025","519.46","505.07","535.48","470.38","997.33K","2.87%"
"11/12/2025","504.98","443.27","547.25","425.61","1.43M","14.02%"
"11/11/2025","442.88","521.92","585.00","442.22","1.73M","-15.17%"
"11/10/2025","522.05","615.41","683.79","514.54","3.33M","-15.23%"
"11/09/2025","615.81","600.21","668.82","533.79","1.15M","2.36%"
"11/08/2025","601.63","644.11","658.35","494.80","2.38M","-6.76%"
"11/07/2025","645.23","531.69","743.72","525.57","2.44M","20.35%"
"11/06/2025","536.12","476.81","550.77","469.30","912.55K","12.03%"
"11/05/2025","478.55","441.23","505.57","411.68","958.72K","8.30%"
"11/04/2025","441.87","432.83","482.23","371.73","2.03M","1.74%"
"11/03/2025","434.31","417.12","435.63","375.08","724.77K","3.80%"
"11/02/2025","418.43","411.81","429.80","368.39","711.89K","1.54%"
"11/01/2025","412.08","404.46","448.10","394.19","895.79K","1.84%"
"10/31/2025","404.65","344.91","412.03","339.91","1.21M","17.07%"
"10/30/2025","345.65","351.25","366.77","298.88","912.05K","-1.70%"
"10/29/2025","351.61","315.59","362.29","310.93","653.90K","11.25%"
"10/28/2025","316.05","342.06","343.61","308.09","653.98K","-7.53%"
"10/27/2025","341.77","326.91","374.61","326.91","829.10K","4.90%"
"10/26/2025","325.82","275.42","359.23","272.16","1.22M","18.03%"
"10/25/2025","276.04","269.45","283.72","265.51","336.76K","2.37%"
"10/24/2025","269.65","243.31","272.75","241.66","565.98K","10.75%"
"10/23/2025","243.48","238.54","252.27","228.80","563.35K","2.03%"
"10/22/2025","238.64","262.55","281.16","227.32","827.00K","-9.24%"
"10/21/2025","262.93","268.75","309.41","245.97","858.54K","-2.10%"
"10/20/2025","268.57","235.97","283.68","230.39","684.15K","13.95%"
"10/19/2025","235.70","221.34","244.56","211.92","416.87K","6.48%"
"10/18/2025","221.36","217.39","226.58","210.52","325.02K","1.63%"
"10/17/2025","217.80","204.42","234.07","187.41","848.86K","6.21%"
"10/16/2025","205.07","230.01","245.84","202.61","785.96K","-10.80%"
"10/15/2025","229.91","247.96","277.28","224.58","663.06K","-7.31%"
"10/14/2025","248.05","249.30","263.12","218.10","777.33K","-0.47%"
"10/13/2025","249.22","260.14","287.90","235.60","660.82K","-4.30%"
"10/12/2025","260.43","292.36","295.28","245.66","922.11K","-10.51%"
"10/11/2025","291.00","226.01","297.78","208.24","1.49M","28.05%"
"10/10/2025","227.25","213.21","274.00","150.13","1.98M","6.80%"
"10/09/2025","212.79","177.46","217.66","163.50","1.25M","20.62%"
"10/08/2025","176.42","127.44","185.43","126.31","986.53K","38.71%"
"10/07/2025","127.19","156.06","160.48","122.29","824.88K","-18.45%"
"10/06/2025","155.96","165.27","177.01","154.84","550.07K","-5.66%"
"10/05/2025","165.32","156.69","171.51","144.00","829.46K","5.45%"
"10/04/2025","156.78","127.34","175.54","124.54","847.19K","23.24%"
"10/03/2025","127.22","131.95","157.71","124.01","968.84K","-3.22%"
"10/02/2025","131.45","120.84","159.04","116.50","2.05M","8.95%"
"10/01/2025","120.65","74.24","128.56","74.21","1.64M","62.23%"
"09/30/2025","74.37","72.10","77.41","63.75","577.26K","3.12%"
"09/29/2025","72.12","61.08","72.89","61.08","526.52K","18.07%"
"09/28/2025","61.08","55.62","61.51","53.97","131.38K","9.86%"
"09/27/2025","55.60","56.29","56.93","53.59","52.84K","-1.19%"
"09/26/2025","56.27","54.53","56.34","53.10","79.66K","3.32%"
"09/25/2025","54.46","58.72","60.64","54.17","212.36K","-7.27%"
"09/24/2025","58.73","55.11","61.35","52.72","266.27K","6.63%"
"09/23/2025","55.08","48.58","55.22","47.80","154.77K","13.31%"
"09/22/2025","48.61","51.82","52.16","46.26","88.63K","-6.23%"
"09/21/2025","51.84","50.62","52.28","50.46","52.34K","2.41%"
"09/20/2025","50.62","48.98","51.10","48.50","54.37K","3.45%"
"09/19/2025","48.93","50.39","51.02","48.18","62.00K","-2.90%"
"09/18/2025","50.39","51.15","51.44","50.08","60.87K","-1.62%"
"09/17/2025","51.22","51.38","52.46","50.16","54.19K","-0.31%"
"09/16/2025","51.38","49.94","53.41","49.61","36.92K","2.90%"
"09/15/2025","49.93","50.45","52.05","49.27","70.59K","-1.07%"
"09/14/2025","50.47","52.87","55.52","50.28","148.79K","-4.52%"
"09/13/2025","52.86","49.81","53.02","48.89","69.46K","6.25%"
"09/12/2025","49.75","47.90","50.40","47.21","56.31K","3.78%"
"09/11/2025","47.94","47.85","48.28","46.74","53.77K","0.10%"
"09/10/2025","47.89","48.18","49.16","47.28","51.81K","-0.89%"
"09/09/2025","48.32","50.65","51.34","47.65","92.94K","-4.81%"
"09/08/2025","50.76","48.40","52.00","48.04","128.99K","4.92%"
"09/07/2025","48.38","47.56","48.57","45.67","135.99K","1.94%"
"09/06/2025","47.46","41.10","47.89","40.93","93.86K","15.50%"
"09/05/2025","41.09","40.77","41.94","40.60","40.30K","0.78%"
"09/04/2025","40.77","41.57","41.62","40.19","31.10K","-1.92%"
"09/03/2025","41.57","41.57","43.11","40.85","59.57K","0.05%"
"09/02/2025","41.55","40.55","41.82","39.83","67.56K","2.47%"
"09/01/2025","40.55","40.39","41.20","38.71","80.23K","0.30%"
"08/31/2025","40.43","40.03","41.40","39.92","34.05K","1.08%"
"08/30/2025","40.00","40.08","40.33","39.57","37.55K","-0.52%"
"08/29/2025","40.21","42.47","43.82","40.12","65.68K","-5.32%"
"08/28/2025","42.47","42.27","43.48","41.20","58.36K","0.47%"
"08/27/2025","42.27","42.81","43.56","41.60","48.89K","-1.24%"
"08/26/2025","42.80","39.74","43.15","39.10","53.15K","7.59%"
"08/25/2025","39.78","42.57","42.82","38.91","101.96K","-6.55%"
"08/24/2025","42.57","44.79","45.06","42.15","92.18K","-5.02%"
"08/23/2025","44.82","43.92","45.06","42.52","75.65K","2.03%"
"08/22/2025","43.93","42.62","45.16","41.66","163.27K","3.29%"
"08/21/2025","42.53","39.05","42.93","37.85","148.62K","8.91%"
"08/20/2025","39.05","34.66","39.42","34.46","144.89K","12.67%"
"08/19/2025","34.66","35.34","36.17","34.57","44.34K","-1.76%"
"08/18/2025","35.28","37.03","37.07","35.18","50.65K","-4.73%"
"08/17/2025","37.03","36.77","38.00","36.26","26.25K","0.71%"
"08/16/2025","36.77","36.46","37.18","35.96","39.53K","0.93%"
"08/15/2025","36.43","36.62","38.62","35.94","61.31K","-0.52%"
"08/14/2025","36.62","39.35","40.32","36.41","113.33K","-6.94%"
"08/13/2025","39.35","39.60","40.97","38.15","119.62K","-0.48%"
"08/12/2025","39.54","36.65","40.27","36.60","63.17K","7.89%"
"08/11/2025","36.65","39.54","40.39","36.36","48.71K","-7.29%"
"08/10/2025","39.53","39.69","40.15","38.48","26.64K","-0.43%"
"08/09/2025","39.70","38.75","40.45","38.75","27.21K","2.45%"
"08/08/2025","38.75","38.12","39.29","37.54","39.34K","1.65%"
"08/07/2025","38.12","36.14","38.16","35.96","29.89K","5.48%"
"08/06/2025","36.14","35.48","36.33","34.91","29.34K","1.77%"
"08/05/2025","35.51","37.10","37.13","34.96","36.52K","-4.18%"
"08/04/2025","37.06","36.15","37.38","35.93","28.98K","2.55%"
"08/03/2025","36.14","35.42","36.43","34.87","25.06K","2.03%"
"08/02/2025","35.42","35.88","36.16","34.62","23.41K","-1.45%"
"08/01/2025","35.94","36.96","37.37","35.24","42.89K","-2.76%"
"07/31/2025","36.96","38.45","39.62","36.63","41.89K","-3.88%"
"07/30/2025","38.45","40.50","40.71","37.22","57.70K","-5.06%"
"07/29/2025","40.50","40.57","41.75","39.73","34.46K","-0.42%"
"07/28/2025","40.67","41.90","43.32","40.12","54.48K","-2.94%"
"07/27/2025","41.90","41.18","41.97","41.12","29.47K","1.72%"
"07/26/2025","41.19","40.80","41.77","40.46","18.13K","0.96%"
"07/25/2025","40.80","40.18","40.82","38.55","49.53K","1.47%"
"07/24/2025","40.21","41.33","41.90","39.34","56.67K","-2.71%"
"07/23/2025","41.33","44.10","44.17","40.59","53.95K","-6.28%"
"07/22/2025","44.10","44.59","44.69","42.29","67.52K","-1.10%"
"07/21/2025","44.59","44.99","46.01","43.91","47.21K","-0.93%"
"07/20/2025","45.01","44.76","45.94","43.87","46.42K","0.65%"
"07/19/2025","44.72","44.28","45.39","42.90","32.69K","1.04%"
"07/18/2025","44.26","45.47","47.12","43.70","71.90K","-2.55%"
"07/17/2025","45.42","44.24","46.10","43.46","52.96K","2.71%"
"07/16/2025","44.22","43.78","44.83","43.06","42.55K","1.01%"
"07/15/2025","43.78","43.12","44.06","41.52","47.43K","1.41%"
"07/14/2025","43.17","42.37","44.58","42.22","55.82K","1.89%"
"07/13/2025","42.37","42.31","43.80","41.86","42.17K","0.26%"
"07/12/2025","42.26","42.05","43.03","40.49","46.64K","0.50%"
"07/11/2025","42.05","42.08","43.88","41.39","78.48K","0.07%"
"07/10/2025","42.02","41.02","42.49","40.20","72.02K","2.44%"
"07/09/2025","41.02","43.70","45.46","38.97","162.97K","-6.13%"
"07/08/2025","43.70","38.77","43.72","38.28","67.49K","12.72%"
"07/07/2025","38.77","39.34","39.72","38.10","32.06K","-1.42%"
"07/06/2025","39.33","39.05","40.16","37.73","37.62K","0.23%"
"07/05/2025","39.24","40.11","40.77","38.53","27.80K","-2.17%"
"07/04/2025","40.11","40.92","42.03","39.12","81.52K","-1.98%"
"07/03/2025","40.92","38.92","40.94","38.50","66.33K","5.11%"
"07/02/2025","38.93","36.92","39.10","36.71","46.64K","5.44%"
